criterion,epoch,train_accuracy,test_accuracy
class_balanced_loss,1,0.43068493150684933,0.3004
class_balanced_loss,2,0.5751232876712329,0.5373
class_balanced_loss,3,0.6440821917808219,0.6095
class_balanced_loss,4,0.6952876712328767,0.6303
class_balanced_loss,5,0.7343835616438357,0.642
class_balanced_loss,6,0.764027397260274,0.6664
class_balanced_loss,7,0.7865479452054794,0.6294
class_balanced_loss,8,0.8081369863013699,0.6687
class_balanced_loss,9,0.8289863013698631,0.7163
class_balanced_loss,10,0.8409589041095891,0.6953
class_balanced_loss,11,0.8527945205479452,0.6897
class_balanced_loss,12,0.8669041095890411,0.7329
class_balanced_loss,13,0.8810410958904109,0.7415
class_balanced_loss,14,0.8887123287671232,0.7217
class_balanced_loss,15,0.8992054794520548,0.7436
class_balanced_loss,16,0.9095890410958904,0.7386
class_balanced_loss,17,0.9233972602739726,0.738
class_balanced_loss,18,0.9144109589041096,0.6925
class_balanced_loss,19,0.9297260273972603,0.7546
class_balanced_loss,20,0.9410958904109589,0.7404
