criterion,epoch,train_accuracy,test_accuracy
ce,1,0.5523013698630137,0.3529
ce,2,0.7029863013698631,0.5819
ce,3,0.7720821917808219,0.6215
ce,4,0.8143835616438356,0.6168
ce,5,0.8433972602739725,0.6838
ce,6,0.8668219178082192,0.6516
ce,7,0.8851232876712328,0.6497
ce,8,0.897945205479452,0.7008
ce,9,0.9166575342465754,0.6814
ce,10,0.9253698630136986,0.7047
ce,11,0.9385753424657535,0.7022
ce,12,0.9438356164383561,0.7354
ce,13,0.948054794520548,0.7361
ce,14,0.9549041095890412,0.7433
ce,15,0.961041095890411,0.7454
ce,16,0.9637260273972603,0.7249
ce,17,0.9653424657534246,0.7268
ce,18,0.9675890410958904,0.7543
ce,19,0.9698630136986301,0.7397
ce,20,0.9716438356164384,0.7388
