criterion,epoch,training_loss
ce,1,1.2260401301125095
ce,2,0.8362407365947596
ce,3,0.6512922833032658
ce,4,0.5331399977311571
ce,5,0.44949977822771425
ce,6,0.38072998733006924
ce,7,0.3254505639892535
ce,8,0.28236176108781597
ce,9,0.23817335034601533
ce,10,0.20615460227803048
ce,11,0.1752187666024902
ce,12,0.15626491161614603
ce,13,0.14130388106009067
ce,14,0.12577675774876165
ce,15,0.11169084266558837
ce,16,0.10383206792991288
ce,17,0.098449051402992
ce,18,0.09351275311766646
ce,19,0.08358267919142484
ce,20,0.08214026713016363
