criterion,epoch,true_class,predicted_class,count
ce,1,0,0,9
ce,1,0,1,1
ce,1,0,2,2
ce,1,0,3,25
ce,1,0,4,54
ce,1,0,5,24
ce,1,0,6,19
ce,1,0,7,22
ce,1,0,8,275
ce,1,0,9,69
ce,1,1,0,1
ce,1,1,1,10
ce,1,1,2,2
ce,1,1,3,19
ce,1,1,4,5
ce,1,1,5,5
ce,1,1,6,27
ce,1,1,7,20
ce,1,1,8,93
ce,1,1,9,318
ce,1,2,0,2
ce,1,2,1,0
ce,1,2,2,4
ce,1,2,3,78
ce,1,2,4,141
ce,1,2,5,84
ce,1,2,6,94
ce,1,2,7,39
ce,1,2,8,40
ce,1,2,9,18
ce,1,3,0,1
ce,1,3,1,0
ce,1,3,2,9
ce,1,3,3,1641
ce,1,3,4,482
ce,1,3,5,1427
ce,1,3,6,657
ce,1,3,7,353
ce,1,3,8,211
ce,1,3,9,219
ce,1,4,0,2
ce,1,4,1,0
ce,1,4,2,10
ce,1,4,3,415
ce,1,4,4,2491
ce,1,4,5,383
ce,1,4,6,647
ce,1,4,7,686
ce,1,4,8,235
ce,1,4,9,131
ce,1,5,0,0
ce,1,5,1,3
ce,1,5,2,5
ce,1,5,3,1328
ce,1,5,4,450
ce,1,5,5,2133
ce,1,5,6,337
ce,1,5,7,489
ce,1,5,8,125
ce,1,5,9,130
ce,1,6,0,0
ce,1,6,1,1
ce,1,6,2,6
ce,1,6,3,497
ce,1,6,4,600
ce,1,6,5,220
ce,1,6,6,3322
ce,1,6,7,152
ce,1,6,8,90
ce,1,6,9,112
ce,1,7,0,2
ce,1,7,1,0
ce,1,7,2,4
ce,1,7,3,383
ce,1,7,4,602
ce,1,7,5,615
ce,1,7,6,178
ce,1,7,7,2773
ce,1,7,8,115
ce,1,7,9,328
ce,1,8,0,3
ce,1,8,1,14
ce,1,8,2,9
ce,1,8,3,187
ce,1,8,4,151
ce,1,8,5,56
ce,1,8,6,73
ce,1,8,7,52
ce,1,8,8,3964
ce,1,8,9,491
ce,1,9,0,2
ce,1,9,1,11
ce,1,9,2,4
ce,1,9,3,135
ce,1,9,4,63
ce,1,9,5,69
ce,1,9,6,120
ce,1,9,7,250
ce,1,9,8,534
ce,1,9,9,3812
ce,2,0,0,74
ce,2,0,1,9
ce,2,0,2,8
ce,2,0,3,26
ce,2,0,4,65
ce,2,0,5,16
ce,2,0,6,24
ce,2,0,7,18
ce,2,0,8,220
ce,2,0,9,40
ce,2,1,0,7
ce,2,1,1,120
ce,2,1,2,0
ce,2,1,3,12
ce,2,1,4,8
ce,2,1,5,0
ce,2,1,6,26
ce,2,1,7,15
ce,2,1,8,68
ce,2,1,9,244
ce,2,2,0,14
ce,2,2,1,2
ce,2,2,2,16
ce,2,2,3,100
ce,2,2,4,140
ce,2,2,5,70
ce,2,2,6,87
ce,2,2,7,31
ce,2,2,8,31
ce,2,2,9,9
ce,2,3,0,6
ce,2,3,1,1
ce,2,3,2,10
ce,2,3,3,2604
ce,2,3,4,415
ce,2,3,5,1058
ce,2,3,6,435
ce,2,3,7,223
ce,2,3,8,132
ce,2,3,9,116
ce,2,4,0,18
ce,2,4,1,2
ce,2,4,2,3
ce,2,4,3,339
ce,2,4,4,3504
ce,2,4,5,175
ce,2,4,6,344
ce,2,4,7,458
ce,2,4,8,99
ce,2,4,9,58
ce,2,5,0,2
ce,2,5,1,2
ce,2,5,2,1
ce,2,5,3,1177
ce,2,5,4,299
ce,2,5,5,2883
ce,2,5,6,189
ce,2,5,7,378
ce,2,5,8,34
ce,2,5,9,35
ce,2,6,0,3
ce,2,6,1,7
ce,2,6,2,2
ce,2,6,3,429
ce,2,6,4,325
ce,2,6,5,130
ce,2,6,6,3970
ce,2,6,7,31
ce,2,6,8,58
ce,2,6,9,45
ce,2,7,0,1
ce,2,7,1,3
ce,2,7,2,2
ce,2,7,3,263
ce,2,7,4,444
ce,2,7,5,421
ce,2,7,6,42
ce,2,7,7,3674
ce,2,7,8,44
ce,2,7,9,106
ce,2,8,0,40
ce,2,8,1,23
ce,2,8,2,0
ce,2,8,3,107
ce,2,8,4,70
ce,2,8,5,24
ce,2,8,6,59
ce,2,8,7,31
ce,2,8,8,4429
ce,2,8,9,217
ce,2,9,0,11
ce,2,9,1,63
ce,2,9,2,0
ce,2,9,3,101
ce,2,9,4,33
ce,2,9,5,30
ce,2,9,6,53
ce,2,9,7,88
ce,2,9,8,236
ce,2,9,9,4385
ce,3,0,0,155
ce,3,0,1,11
ce,3,0,2,22
ce,3,0,3,29
ce,3,0,4,47
ce,3,0,5,10
ce,3,0,6,12
ce,3,0,7,14
ce,3,0,8,151
ce,3,0,9,49
ce,3,1,0,4
ce,3,1,1,263
ce,3,1,2,0
ce,3,1,3,7
ce,3,1,4,8
ce,3,1,5,2
ce,3,1,6,14
ce,3,1,7,4
ce,3,1,8,53
ce,3,1,9,145
ce,3,2,0,21
ce,3,2,1,0
ce,3,2,2,69
ce,3,2,3,92
ce,3,2,4,108
ce,3,2,5,72
ce,3,2,6,76
ce,3,2,7,35
ce,3,2,8,21
ce,3,2,9,6
ce,3,3,0,12
ce,3,3,1,2
ce,3,3,2,15
ce,3,3,3,3078
ce,3,3,4,332
ce,3,3,5,846
ce,3,3,6,335
ce,3,3,7,185
ce,3,3,8,107
ce,3,3,9,88
ce,3,4,0,20
ce,3,4,1,3
ce,3,4,2,17
ce,3,4,3,287
ce,3,4,4,3908
ce,3,4,5,123
ce,3,4,6,244
ce,3,4,7,312
ce,3,4,8,65
ce,3,4,9,21
ce,3,5,0,3
ce,3,5,1,1
ce,3,5,2,11
ce,3,5,3,949
ce,3,5,4,228
ce,3,5,5,3318
ce,3,5,6,138
ce,3,5,7,297
ce,3,5,8,31
ce,3,5,9,24
ce,3,6,0,3
ce,3,6,1,8
ce,3,6,2,10
ce,3,6,3,305
ce,3,6,4,205
ce,3,6,5,124
ce,3,6,6,4251
ce,3,6,7,24
ce,3,6,8,46
ce,3,6,9,24
ce,3,7,0,8
ce,3,7,1,2
ce,3,7,2,6
ce,3,7,3,246
ce,3,7,4,298
ce,3,7,5,262
ce,3,7,6,26
ce,3,7,7,4057
ce,3,7,8,24
ce,3,7,9,71
ce,3,8,0,46
ce,3,8,1,30
ce,3,8,2,4
ce,3,8,3,85
ce,3,8,4,45
ce,3,8,5,15
ce,3,8,6,48
ce,3,8,7,29
ce,3,8,8,4556
ce,3,8,9,142
ce,3,9,0,20
ce,3,9,1,60
ce,3,9,2,3
ce,3,9,3,76
ce,3,9,4,28
ce,3,9,5,28
ce,3,9,6,33
ce,3,9,7,65
ce,3,9,8,161
ce,3,9,9,4526
ce,4,0,0,217
ce,4,0,1,8
ce,4,0,2,16
ce,4,0,3,24
ce,4,0,4,45
ce,4,0,5,10
ce,4,0,6,12
ce,4,0,7,16
ce,4,0,8,106
ce,4,0,9,46
ce,4,1,0,6
ce,4,1,1,318
ce,4,1,2,0
ce,4,1,3,6
ce,4,1,4,6
ce,4,1,5,3
ce,4,1,6,15
ce,4,1,7,6
ce,4,1,8,42
ce,4,1,9,98
