criterion,epoch,train_accuracy,test_accuracy
ce,1,0.51912,0.5995
ce,2,0.70494,0.7032
ce,3,0.77446,0.7347
ce,4,0.81434,0.7654
ce,5,0.84004,0.7623
ce,6,0.8607,0.8015
ce,7,0.87538,0.8014
ce,8,0.89446,0.8308
ce,9,0.90358,0.8115
ce,10,0.91466,0.8247
