criterion,epoch,true_class,predicted_class,count
ce,3,5,0,38
ce,3,5,1,11
ce,3,5,2,229
ce,3,5,3,799
ce,3,5,4,208
ce,3,5,5,3311
ce,3,5,6,122
ce,3,5,7,238
ce,3,5,8,18
ce,3,5,9,26
ce,3,6,0,38
ce,3,6,1,27
ce,3,6,2,219
ce,3,6,3,278
ce,3,6,4,176
ce,3,6,5,103
ce,3,6,6,4075
ce,3,6,7,28
ce,3,6,8,37
ce,3,6,9,19
ce,3,7,0,63
ce,3,7,1,14
ce,3,7,2,163
ce,3,7,3,174
ce,3,7,4,291
ce,3,7,5,196
ce,3,7,6,16
ce,3,7,7,4026
ce,3,7,8,13
ce,3,7,9,44
ce,3,8,0,267
ce,3,8,1,102
ce,3,8,2,51
ce,3,8,3,57
ce,3,8,4,21
ce,3,8,5,16
ce,3,8,6,29
ce,3,8,7,13
ce,3,8,8,4364
ce,3,8,9,80
ce,3,9,0,107
ce,3,9,1,254
ce,3,9,2,17
ce,3,9,3,69
ce,3,9,4,16
ce,3,9,5,24
ce,3,9,6,25
ce,3,9,7,54
ce,3,9,8,87
ce,3,9,9,4347
ce,4,0,0,4212
ce,4,0,1,41
ce,4,0,2,186
ce,4,0,3,63
ce,4,0,4,70
ce,4,0,5,19
ce,4,0,6,33
ce,4,0,7,61
ce,4,0,8,216
ce,4,0,9,99
ce,4,1,0,58
ce,4,1,1,4554
ce,4,1,2,10
ce,4,1,3,16
ce,4,1,4,7
ce,4,1,5,10
ce,4,1,6,25
ce,4,1,7,14
ce,4,1,8,72
ce,4,1,9,234
ce,4,2,0,249
ce,4,2,1,13
ce,4,2,2,3702
ce,4,2,3,236
ce,4,2,4,243
ce,4,2,5,178
ce,4,2,6,232
ce,4,2,7,103
ce,4,2,8,33
ce,4,2,9,11
ce,4,3,0,72
ce,4,3,1,18
ce,4,3,2,225
ce,4,3,3,3324
ce,4,3,4,218
ce,4,3,5,643
ce,4,3,6,257
ce,4,3,7,133
ce,4,3,8,57
ce,4,3,9,53
ce,4,4,0,84
ce,4,4,1,2
ce,4,4,2,226
ce,4,4,3,180
ce,4,4,4,3989
ce,4,4,5,102
ce,4,4,6,156
ce,4,4,7,232
ce,4,4,8,21
ce,4,4,9,8
ce,4,5,0,31
ce,4,5,1,7
ce,4,5,2,172
ce,4,5,3,732
ce,4,5,4,161
ce,4,5,5,3537
ce,4,5,6,104
ce,4,5,7,220
ce,4,5,8,16
ce,4,5,9,20
ce,4,6,0,31
ce,4,6,1,25
ce,4,6,2,193
ce,4,6,3,212
