criterion,epoch,train_accuracy,test_accuracy
focal_loss,1,0.4999,0.5895
focal_loss,2,0.68728,0.689
focal_loss,3,0.75976,0.735
focal_loss,4,0.80314,0.705
focal_loss,5,0.83202,0.7406
focal_loss,6,0.8521,0.733
focal_loss,7,0.87044,0.7549
focal_loss,8,0.887,0.7733
focal_loss,9,0.90016,0.773
focal_loss,10,0.91118,0.8
focal_loss,11,0.92112,0.7765
focal_loss,12,0.9299,0.7938
focal_loss,13,0.9342,0.8
focal_loss,14,0.9394,0.8166
focal_loss,15,0.94496,0.8039
focal_loss,16,0.9475,0.7932
focal_loss,17,0.954,0.8136
focal_loss,18,0.95448,0.8137
focal_loss,19,0.95624,0.8133
focal_loss,20,0.9613,0.8155
