criterion,epoch,train_accuracy,test_accuracy
focal_loss,1,0.48206,0.5706
focal_loss,2,0.66686,0.6762
focal_loss,3,0.73848,0.6944
focal_loss,4,0.787,0.7233
focal_loss,5,0.81584,0.7314
focal_loss,6,0.83798,0.74
focal_loss,7,0.86124,0.7425
focal_loss,8,0.87612,0.747
focal_loss,9,0.89128,0.7634
focal_loss,10,0.9028,0.779
focal_loss,11,0.9104,0.7803
focal_loss,12,0.9238,0.7858
focal_loss,13,0.92654,0.7969
focal_loss,14,0.93468,0.803
focal_loss,15,0.94134,0.8088
focal_loss,16,0.94294,0.8034
focal_loss,17,0.948,0.8086
focal_loss,18,0.95304,0.7968
focal_loss,19,0.95194,0.7865
focal_loss,20,0.95666,0.8116
