criterion,epoch,training_loss
focal_loss,1,0.9100531731420161
focal_loss,2,0.5447387467412388
focal_loss,3,0.40366463894810517
focal_loss,4,0.31545784913213054
focal_loss,5,0.25707869643769454
focal_loss,6,0.21206735870074434
focal_loss,7,0.17310826976776428
focal_loss,8,0.1479716499662384
focal_loss,9,0.12267868037638076
focal_loss,10,0.1060646201348137
focal_loss,11,0.0950044424361204
focal_loss,12,0.08051715254345361
focal_loss,13,0.07602478598561281
focal_loss,14,0.06774921854838843
focal_loss,15,0.0599644371274742
focal_loss,16,0.05941579122777523
focal_loss,17,0.053772209460348074
focal_loss,18,0.04821229309333093
focal_loss,19,0.050540319151308175
focal_loss,20,0.044590117372905885
