criterion,epoch,training_loss
class_balanced_loss,1,1.6320780496881222
class_balanced_loss,2,1.243617175861332
class_balanced_loss,3,1.0168137748166266
class_balanced_loss,4,0.8491463677895674
class_balanced_loss,5,0.7301543263649982
class_balanced_loss,6,0.6194019211674738
class_balanced_loss,7,0.5394982409952193
class_balanced_loss,8,0.4694258356678924
class_balanced_loss,9,0.4210872550457455
class_balanced_loss,10,0.4042887402447218
class_balanced_loss,11,0.3422936212578087
class_balanced_loss,12,0.3160787647926035
class_balanced_loss,13,0.3033510562025937
class_balanced_loss,14,0.27934487896030297
class_balanced_loss,15,0.2286393132563126
class_balanced_loss,16,0.22420116845394392
class_balanced_loss,17,0.2245631237985687
class_balanced_loss,18,0.18637227288067287
class_balanced_loss,19,0.18316891373032393
class_balanced_loss,20,0.12373089532803372
