criterion,epoch,train_accuracy,test_accuracy
focal_loss,1,0.5335890410958904,0.3697
focal_loss,2,0.6694794520547945,0.5405
focal_loss,3,0.7391506849315068,0.5749
focal_loss,4,0.7824931506849315,0.6005
focal_loss,5,0.816986301369863,0.6063
focal_loss,6,0.8367123287671233,0.6271
focal_loss,7,0.857972602739726,0.5969
focal_loss,8,0.8726027397260274,0.6079
focal_loss,9,0.8872054794520547,0.616
focal_loss,10,0.9026575342465754,0.6921
focal_loss,11,0.9137260273972603,0.6811
focal_loss,12,0.9209041095890411,0.6591
focal_loss,13,0.9295616438356165,0.7135
focal_loss,14,0.9384109589041096,0.7066
focal_loss,15,0.9384657534246575,0.691
focal_loss,16,0.9493150684931507,0.7155
focal_loss,17,0.9515616438356165,0.7132
focal_loss,18,0.9548219178082191,0.7045
focal_loss,19,0.953945205479452,0.7104
focal_loss,20,0.9575616438356165,0.7081
