criterion,epoch,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Top-3 Acc,Macro Recall@3
weighted_ce,1,0.2693,0.43440869029062973,0.2693,0.23141576362504396,0.23344156928013335,0.6135,0.6134999999999999
weighted_ce,2,0.503,0.5310927203262461,0.503,0.4868856469159648,0.4877031868426547,0.8187,0.8187
weighted_ce,3,0.5921,0.6073003013187107,0.5921000000000001,0.5879242491861938,0.5843993835413464,0.8755,0.8755000000000001
weighted_ce,4,0.6058,0.6333071773491924,0.6058,0.6053283726527565,0.6088416712344826,0.8838,0.8837999999999999
weighted_ce,5,0.6623,0.6709292420609105,0.6623,0.6596861394868225,0.6570377041758808,0.9042,0.9042
weighted_ce,6,0.6747,0.6886392616072127,0.6747,0.6751921582164762,0.6894219136519596,0.908,0.908
weighted_ce,7,0.6696,0.6880029692779321,0.6696,0.6716149418161163,0.673301594643693,0.9064,0.9064
weighted_ce,8,0.6884,0.7057723082180718,0.6884,0.6875668999142274,0.7051491074562057,0.9105,0.9105000000000001
weighted_ce,9,0.7074,0.7230036220124093,0.7074,0.7066892300791066,0.7156479667275684,0.9125,0.9125
weighted_ce,10,0.713,0.7234519102130161,0.713,0.7117921144044684,0.71695933888309,0.9236,0.9236000000000001
weighted_ce,11,0.708,0.7202632692764002,0.708,0.7073565599499083,0.7125685903853066,0.9151,0.9151
weighted_ce,12,0.7385,0.7508795956642645,0.7384999999999999,0.7384811892770065,0.7454632714167633,0.9265,0.9265000000000001
weighted_ce,13,0.739,0.7463925853341684,0.7390000000000001,0.7354962082490906,0.741239879257708,0.9207,0.9207000000000001
weighted_ce,14,0.7215,0.7347733460809605,0.7215,0.7184955970812668,0.7280576543717967,0.905,0.905
weighted_ce,15,0.7379,0.7536723422807413,0.7379,0.7351344678968446,0.7483328489187632,0.9132,0.9132
weighted_ce,16,0.7514,0.7612476379785307,0.7514,0.7496214882796374,0.7575630086246773,0.9328,0.9328
weighted_ce,17,0.7139,0.7404474717282575,0.7139,0.7138329566466074,0.7280202927352312,0.8993,0.8993
weighted_ce,18,0.7244,0.7457210862271639,0.7243999999999999,0.721866594322039,0.7352985002109327,0.9055,0.9055
weighted_ce,19,0.7249,0.7461903098035366,0.7249,0.7220041697715125,0.7401156718685926,0.9129,0.9128999999999999
weighted_ce,20,0.7349,0.7548441201417987,0.7349,0.7280696632785875,0.7426933326281332,0.9148,0.9148
weighted_ce,21,0.733,0.7459348840384263,0.733,0.7289958950600598,0.7298747605580458,0.9254,0.9254
weighted_ce,22,0.7492,0.7667632197525563,0.7492,0.7463480987420474,0.7550894627108479,0.9237,0.9237
weighted_ce,23,0.7219,0.7555650947788284,0.7219,0.7182938826904735,0.7358595048766756,0.8994,0.8994
weighted_ce,24,0.6988,0.725021699329744,0.6988000000000001,0.6917138774769305,0.7013963083157116,0.8862,0.8862
weighted_ce,25,0.7386,0.7627086991014673,0.7386,0.7373868924619225,0.7477327473505652,0.9169,0.9169
weighted_ce,26,0.7655,0.7767778721729888,0.7655000000000001,0.7642902321522907,0.7743952179472211,0.9325,0.9324999999999999
weighted_ce,27,0.757,0.7791118745404995,0.757,0.7527095682044302,0.7703639450570543,0.9156,0.9156000000000001
weighted_ce,28,0.7456,0.7547101457987766,0.7455999999999999,0.7426060261586984,0.7468981785034208,0.9187,0.9187
weighted_ce,29,0.7469,0.7663140325319082,0.7469,0.7420821438480809,0.7590904986912727,0.9259,0.9259000000000001
