split,criterion,seed,epoch,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Top-3 Acc,Macro Recall@3
imbalanced,ce,seed_45,11,0.7031,0.736917614041432,0.7031000000000001,0.6964251468911506,0.7300546673839954,0.9161,0.9160999999999999
imbalanced,ce,seed_45,12,0.6992,0.7301333582971012,0.6992,0.6911678613242896,0.715725234882793,0.9119,0.9118999999999999
imbalanced,ce,seed_45,13,0.717,0.7436231924607946,0.7169999999999999,0.7089282811457049,0.7403925968219544,0.9219,0.9218999999999997
imbalanced,ce,seed_45,14,0.7196,0.7445508950403802,0.7196,0.7088707834790663,0.7360108888570904,0.9246,0.9245999999999999
imbalanced,ce,seed_45,15,0.7329,0.7495431844854002,0.7329000000000001,0.7265218027639027,0.7416376603786189,0.9244,0.9244
imbalanced,ce,seed_45,16,0.7438,0.7523072455221965,0.7438,0.7352011092108095,0.7598200348638935,0.9266,0.9266
imbalanced,ce,seed_45,17,0.7203,0.7512756900821607,0.7203,0.7168902652988931,0.7425802180537547,0.9175,0.9174999999999999
imbalanced,ce,seed_45,18,0.7412,0.7624967713135047,0.7412000000000001,0.730799079880988,0.760124180291886,0.9249,0.9248999999999998
imbalanced,ce,seed_45,19,0.7299,0.7556047489626441,0.7299,0.7198558646722185,0.7509518888003082,0.9244,0.9244
imbalanced,ce,seed_45,20,0.7526,0.7632454002395629,0.7526,0.7481248703404173,0.7692277085803654,0.9328,0.9328
imbalanced,ce,seed_255,1,0.3306,0.49312482731718943,0.3306,0.26728907741024355,0.3601394512946223,0.6054,0.6054
imbalanced,ce,seed_255,2,0.534,0.6425768731175564,0.534,0.5052247678080654,0.5863688605655651,0.8095,0.8095000000000001
imbalanced,ce,seed_255,3,0.632,0.6689754168423317,0.632,0.613517523231126,0.6527602471919783,0.8914,0.8914
imbalanced,ce,seed_255,4,0.6299,0.6857337605897744,0.6299,0.6102336775167425,0.6560967924238751,0.89,0.8899999999999999
imbalanced,ce,seed_255,5,0.6375,0.6946431593181012,0.6375,0.6151706662163581,0.6537459280165141,0.8812,0.8812
imbalanced,ce,seed_255,6,0.67,0.7129626406444399,0.67,0.650625330386695,0.6903442355189716,0.8888,0.8887999999999998
imbalanced,ce,seed_255,7,0.6721,0.7127130619313147,0.6721,0.6600335491710986,0.6962181861447274,0.8991,0.8991
imbalanced,ce,seed_255,8,0.6963,0.7120527066902524,0.6963000000000001,0.6901140857697832,0.7095899430294831,0.9131,0.9131
imbalanced,ce,seed_255,9,0.6912,0.7292273263539063,0.6912,0.6822861401714331,0.7131030609051665,0.9157,0.9157
imbalanced,ce,seed_255,10,0.6856,0.72252285784248,0.6856,0.6768438711237386,0.7081679827951844,0.915,0.915
imbalanced,ce,seed_255,11,0.6484,0.7150694778455866,0.6484,0.6460106212831146,0.6646607194244594,0.8955,0.8955
imbalanced,ce,seed_255,12,0.708,0.7308577243479754,0.708,0.6933083357213402,0.726321238213272,0.9106,0.9105999999999999
imbalanced,ce,seed_255,13,0.7064,0.7240775322087248,0.7064000000000001,0.6934470822315789,0.7088169277867714,0.9106,0.9106
imbalanced,ce,seed_255,14,0.7045,0.7315822778914368,0.7044999999999999,0.6950009437148055,0.7194760444473463,0.9084,0.9084000000000001
imbalanced,ce,seed_255,15,0.7222,0.7315331139309025,0.7222000000000001,0.7128677326815456,0.737853257800307,0.914,0.914
imbalanced,ce,seed_255,16,0.7182,0.7431426693507436,0.7182000000000001,0.7092860311340472,0.732796477430966,0.9143,0.9143000000000001
imbalanced,ce,seed_255,17,0.7413,0.7558737263951331,0.7413,0.7326562076156758,0.7508279327093348,0.9255,0.9255000000000001
imbalanced,ce,seed_255,18,0.7286,0.7471856862330281,0.7285999999999999,0.713749030443753,0.7394544125905763,0.9207,0.9207000000000001
imbalanced,ce,seed_255,19,0.7283,0.7452195744966946,0.7283,0.718629998761198,0.7398245370169462,0.9262,0.9262
imbalanced,ce,seed_255,20,0.7591,0.7664776708229327,0.7591,0.7522216539027642,0.7712673979371331,0.9302,0.9301999999999999
