criterion,epoch,training_loss
ce,1,1.3319552257237837
ce,2,0.8371283711146211
ce,3,0.6330199368545771
ce,4,0.5175698731675782
ce,5,0.43572774624733057
ce,6,0.3713373407207029
ce,7,0.31979618800799253
ce,8,0.27087108728945103
ce,9,0.23823055594949924
ce,10,0.20751098337609444
ce,11,0.18406250596503773
ce,12,0.1632944907626266
ce,13,0.1444124595197799
ce,14,0.12869931177338562
ce,15,0.12130039712876234
ce,16,0.11185127722166116
ce,17,0.10331300558174586
ce,18,0.1009193337028203
ce,19,0.09100648783483183
ce,20,0.0859510232646809
