criterion,epoch,train_accuracy,test_accuracy
focal_loss,1,0.49106,0.5541
focal_loss,2,0.67902,0.6653
focal_loss,3,0.75332,0.6975
focal_loss,4,0.79448,0.7066
focal_loss,5,0.82286,0.76
focal_loss,6,0.84512,0.739
focal_loss,7,0.86126,0.7499
focal_loss,8,0.87512,0.7618
focal_loss,9,0.89008,0.7538
focal_loss,10,0.89986,0.7743
focal_loss,11,0.91188,0.7636
focal_loss,12,0.92218,0.7797
focal_loss,13,0.929,0.7829
focal_loss,14,0.9349,0.7858
focal_loss,15,0.93954,0.7997
focal_loss,16,0.94344,0.8043
focal_loss,17,0.94938,0.8089
focal_loss,18,0.95104,0.8043
focal_loss,19,0.95334,0.8036
focal_loss,20,0.95678,0.8077
