criterion,epoch,train_accuracy,test_accuracy
weighted_ce,1,0.3921095890410959,0.3272
weighted_ce,2,0.5356712328767124,0.5103
weighted_ce,3,0.6176438356164383,0.604
weighted_ce,4,0.6736164383561644,0.6309
weighted_ce,5,0.7201917808219178,0.6399
weighted_ce,6,0.7454794520547945,0.6704
weighted_ce,7,0.7776986301369863,0.695
weighted_ce,8,0.797972602739726,0.7094
weighted_ce,9,0.8103013698630137,0.692
weighted_ce,10,0.8242739726027397,0.718
weighted_ce,11,0.8431780821917808,0.7296
weighted_ce,12,0.8577808219178082,0.7204
weighted_ce,13,0.8633972602739726,0.7027
weighted_ce,14,0.8740547945205479,0.7127
weighted_ce,15,0.8907397260273973,0.7375
weighted_ce,16,0.8891780821917808,0.7372
weighted_ce,17,0.8921095890410959,0.7222
weighted_ce,18,0.9086575342465754,0.7314
weighted_ce,19,0.9184109589041096,0.7402
weighted_ce,20,0.9227123287671233,0.7517
