criterion,epoch,train_accuracy,test_accuracy
ce,1,0.50718,0.5744
ce,2,0.69926,0.6862
ce,3,0.77236,0.7495
ce,4,0.81656,0.7578
ce,5,0.84546,0.7442
ce,6,0.87114,0.7642
ce,7,0.88936,0.7812
ce,8,0.90212,0.7914
ce,9,0.91728,0.7872
ce,10,0.92736,0.7977
ce,11,0.9379,0.7927
ce,12,0.9447,0.8032
ce,13,0.9502,0.8146
ce,14,0.95434,0.8083
ce,15,0.95852,0.812
ce,16,0.9622,0.814
ce,17,0.96332,0.8185
ce,18,0.96816,0.8159
ce,19,0.97162,0.8199
ce,20,0.96954,0.8215
