criterion,epoch,train_accuracy,test_accuracy
label_smoothing_ce,1,0.52594,0.5958
label_smoothing_ce,2,0.7145,0.7114
label_smoothing_ce,3,0.78502,0.7303
label_smoothing_ce,4,0.8283,0.7453
label_smoothing_ce,5,0.85992,0.7583
label_smoothing_ce,6,0.88024,0.7538
label_smoothing_ce,7,0.89856,0.7941
label_smoothing_ce,8,0.91418,0.7811
label_smoothing_ce,9,0.92494,0.792
label_smoothing_ce,10,0.933,0.8041
label_smoothing_ce,11,0.94164,0.8114
label_smoothing_ce,12,0.95012,0.7985
label_smoothing_ce,13,0.95368,0.8128
label_smoothing_ce,14,0.95764,0.8121
label_smoothing_ce,15,0.9601,0.7947
label_smoothing_ce,16,0.96408,0.8218
label_smoothing_ce,17,0.966,0.8243
label_smoothing_ce,18,0.96832,0.817
label_smoothing_ce,19,0.96992,0.8228
label_smoothing_ce,20,0.97226,0.8136
