criterion,epoch,train_accuracy,test_accuracy
focal_loss,1,0.48634,0.5744
focal_loss,2,0.671,0.659
focal_loss,3,0.74732,0.7104
focal_loss,4,0.79072,0.7221
focal_loss,5,0.82146,0.6962
focal_loss,6,0.84394,0.7665
focal_loss,7,0.86104,0.759
focal_loss,8,0.87964,0.7642
focal_loss,9,0.89402,0.7745
focal_loss,10,0.90578,0.7738
focal_loss,11,0.91644,0.7781
focal_loss,12,0.92064,0.8003
focal_loss,13,0.9316,0.7954
focal_loss,14,0.93666,0.8
focal_loss,15,0.94308,0.7945
focal_loss,16,0.94464,0.8007
focal_loss,17,0.94884,0.7976
focal_loss,18,0.95398,0.802
focal_loss,19,0.95496,0.8047
focal_loss,20,0.95798,0.7977
