criterion,epoch,true_class,predicted_class,count
focal_loss,1,0,0,22
focal_loss,1,0,1,0
focal_loss,1,0,2,0
focal_loss,1,0,3,53
focal_loss,1,0,4,31
focal_loss,1,0,5,19
focal_loss,1,0,6,9
focal_loss,1,0,7,20
focal_loss,1,0,8,284
focal_loss,1,0,9,62
focal_loss,1,1,0,0
focal_loss,1,1,1,7
focal_loss,1,1,2,0
focal_loss,1,1,3,19
focal_loss,1,1,4,8
focal_loss,1,1,5,7
focal_loss,1,1,6,15
focal_loss,1,1,7,17
focal_loss,1,1,8,93
focal_loss,1,1,9,334
focal_loss,1,2,0,7
focal_loss,1,2,1,0
focal_loss,1,2,2,1
focal_loss,1,2,3,88
focal_loss,1,2,4,131
focal_loss,1,2,5,82
focal_loss,1,2,6,92
focal_loss,1,2,7,35
focal_loss,1,2,8,53
focal_loss,1,2,9,11
focal_loss,1,3,0,4
focal_loss,1,3,1,0
focal_loss,1,3,2,0
focal_loss,1,3,3,1737
focal_loss,1,3,4,467
focal_loss,1,3,5,1384
focal_loss,1,3,6,646
focal_loss,1,3,7,317
focal_loss,1,3,8,239
focal_loss,1,3,9,206
focal_loss,1,4,0,5
focal_loss,1,4,1,0
focal_loss,1,4,2,0
focal_loss,1,4,3,482
focal_loss,1,4,4,2244
focal_loss,1,4,5,481
focal_loss,1,4,6,749
focal_loss,1,4,7,677
focal_loss,1,4,8,212
focal_loss,1,4,9,150
focal_loss,1,5,0,0
focal_loss,1,5,1,0
focal_loss,1,5,2,0
focal_loss,1,5,3,1353
focal_loss,1,5,4,475
focal_loss,1,5,5,2148
focal_loss,1,5,6,330
focal_loss,1,5,7,457
focal_loss,1,5,8,127
focal_loss,1,5,9,110
focal_loss,1,6,0,1
focal_loss,1,6,1,0
focal_loss,1,6,2,0
focal_loss,1,6,3,654
focal_loss,1,6,4,650
focal_loss,1,6,5,323
focal_loss,1,6,6,2952
focal_loss,1,6,7,185
focal_loss,1,6,8,98
focal_loss,1,6,9,137
focal_loss,1,7,0,1
focal_loss,1,7,1,0
focal_loss,1,7,2,0
focal_loss,1,7,3,369
focal_loss,1,7,4,623
focal_loss,1,7,5,578
focal_loss,1,7,6,213
focal_loss,1,7,7,2722
focal_loss,1,7,8,140
focal_loss,1,7,9,354
focal_loss,1,8,0,27
focal_loss,1,8,1,12
focal_loss,1,8,2,0
focal_loss,1,8,3,212
focal_loss,1,8,4,106
focal_loss,1,8,5,82
focal_loss,1,8,6,53
focal_loss,1,8,7,55
focal_loss,1,8,8,3859
focal_loss,1,8,9,594
focal_loss,1,9,0,4
focal_loss,1,9,1,28
focal_loss,1,9,2,0
focal_loss,1,9,3,145
focal_loss,1,9,4,70
focal_loss,1,9,5,75
focal_loss,1,9,6,99
focal_loss,1,9,7,268
focal_loss,1,9,8,547
focal_loss,1,9,9,3764
focal_loss,2,0,0,78
focal_loss,2,0,1,2
focal_loss,2,0,2,7
focal_loss,2,0,3,43
focal_loss,2,0,4,40
focal_loss,2,0,5,7
focal_loss,2,0,6,10
focal_loss,2,0,7,24
focal_loss,2,0,8,232
focal_loss,2,0,9,57
focal_loss,2,1,0,3
focal_loss,2,1,1,111
focal_loss,2,1,2,0
focal_loss,2,1,3,9
focal_loss,2,1,4,7
focal_loss,2,1,5,5
focal_loss,2,1,6,18
focal_loss,2,1,7,10
focal_loss,2,1,8,60
focal_loss,2,1,9,277
focal_loss,2,2,0,12
focal_loss,2,2,1,0
focal_loss,2,2,2,13
focal_loss,2,2,3,112
focal_loss,2,2,4,137
focal_loss,2,2,5,74
focal_loss,2,2,6,81
focal_loss,2,2,7,31
focal_loss,2,2,8,35
focal_loss,2,2,9,5
focal_loss,2,3,0,5
focal_loss,2,3,1,1
focal_loss,2,3,2,13
focal_loss,2,3,3,2308
focal_loss,2,3,4,373
focal_loss,2,3,5,1269
focal_loss,2,3,6,590
focal_loss,2,3,7,194
focal_loss,2,3,8,152
focal_loss,2,3,9,95
focal_loss,2,4,0,13
focal_loss,2,4,1,2
focal_loss,2,4,2,8
focal_loss,2,4,3,375
focal_loss,2,4,4,3191
focal_loss,2,4,5,209
focal_loss,2,4,6,434
focal_loss,2,4,7,591
focal_loss,2,4,8,119
focal_loss,2,4,9,58
focal_loss,2,5,0,1
focal_loss,2,5,1,2
focal_loss,2,5,2,4
focal_loss,2,5,3,1326
focal_loss,2,5,4,295
focal_loss,2,5,5,2690
focal_loss,2,5,6,189
focal_loss,2,5,7,398
focal_loss,2,5,8,46
focal_loss,2,5,9,49
focal_loss,2,6,0,3
focal_loss,2,6,1,5
focal_loss,2,6,2,5
focal_loss,2,6,3,529
focal_loss,2,6,4,418
focal_loss,2,6,5,129
focal_loss,2,6,6,3777
focal_loss,2,6,7,25
focal_loss,2,6,8,62
focal_loss,2,6,9,47
focal_loss,2,7,0,3
focal_loss,2,7,1,1
focal_loss,2,7,2,1
focal_loss,2,7,3,231
focal_loss,2,7,4,579
focal_loss,2,7,5,516
focal_loss,2,7,6,50
focal_loss,2,7,7,3445
focal_loss,2,7,8,49
focal_loss,2,7,9,125
focal_loss,2,8,0,61
focal_loss,2,8,1,22
focal_loss,2,8,2,4
focal_loss,2,8,3,134
focal_loss,2,8,4,74
focal_loss,2,8,5,21
focal_loss,2,8,6,52
focal_loss,2,8,7,31
focal_loss,2,8,8,4284
focal_loss,2,8,9,317
focal_loss,2,9,0,12
focal_loss,2,9,1,91
focal_loss,2,9,2,0
focal_loss,2,9,3,103
focal_loss,2,9,4,38
focal_loss,2,9,5,29
focal_loss,2,9,6,51
focal_loss,2,9,7,116
focal_loss,2,9,8,315
focal_loss,2,9,9,4245
focal_loss,3,0,0,159
focal_loss,3,0,1,4
focal_loss,3,0,2,12
focal_loss,3,0,3,36
focal_loss,3,0,4,32
focal_loss,3,0,5,4
focal_loss,3,0,6,11
focal_loss,3,0,7,16
focal_loss,3,0,8,180
focal_loss,3,0,9,46
focal_loss,3,1,0,5
focal_loss,3,1,1,206
focal_loss,3,1,2,0
focal_loss,3,1,3,15
focal_loss,3,1,4,4
focal_loss,3,1,5,1
focal_loss,3,1,6,14
focal_loss,3,1,7,7
focal_loss,3,1,8,41
focal_loss,3,1,9,207
focal_loss,3,2,0,18
focal_loss,3,2,1,1
focal_loss,3,2,2,63
focal_loss,3,2,3,104
focal_loss,3,2,4,126
focal_loss,3,2,5,57
focal_loss,3,2,6,67
focal_loss,3,2,7,33
focal_loss,3,2,8,25
focal_loss,3,2,9,6
focal_loss,3,3,0,9
focal_loss,3,3,1,2
focal_loss,3,3,2,15
focal_loss,3,3,3,2789
focal_loss,3,3,4,320
focal_loss,3,3,5,1073
focal_loss,3,3,6,438
focal_loss,3,3,7,183
focal_loss,3,3,8,102
focal_loss,3,3,9,69
focal_loss,3,4,0,22
focal_loss,3,4,1,0
focal_loss,3,4,2,15
focal_loss,3,4,3,286
focal_loss,3,4,4,3605
focal_loss,3,4,5,162
focal_loss,3,4,6,326
focal_loss,3,4,7,466
focal_loss,3,4,8,81
focal_loss,3,4,9,37
focal_loss,3,5,0,4
focal_loss,3,5,1,3
focal_loss,3,5,2,15
focal_loss,3,5,3,1140
focal_loss,3,5,4,248
focal_loss,3,5,5,3081
focal_loss,3,5,6,125
focal_loss,3,5,7,332
focal_loss,3,5,8,26
focal_loss,3,5,9,26
focal_loss,3,6,0,1
focal_loss,3,6,1,6
focal_loss,3,6,2,22
focal_loss,3,6,3,433
focal_loss,3,6,4,280
focal_loss,3,6,5,106
focal_loss,3,6,6,4051
focal_loss,3,6,7,22
focal_loss,3,6,8,54
focal_loss,3,6,9,25
focal_loss,3,7,0,4
focal_loss,3,7,1,0
focal_loss,3,7,2,3
focal_loss,3,7,3,207
focal_loss,3,7,4,430
focal_loss,3,7,5,369
focal_loss,3,7,6,33
focal_loss,3,7,7,3848
focal_loss,3,7,8,30
focal_loss,3,7,9,76
focal_loss,3,8,0,74
focal_loss,3,8,1,16
focal_loss,3,8,2,6
focal_loss,3,8,3,99
focal_loss,3,8,4,52
focal_loss,3,8,5,20
focal_loss,3,8,6,37
focal_loss,3,8,7,21
focal_loss,3,8,8,4467
focal_loss,3,8,9,208
focal_loss,3,9,0,14
focal_loss,3,9,1,92
focal_loss,3,9,2,1
focal_loss,3,9,3,69
focal_loss,3,9,4,23
focal_loss,3,9,5,18
focal_loss,3,9,6,37
focal_loss,3,9,7,71
focal_loss,3,9,8,207
focal_loss,3,9,9,4468
focal_loss,4,0,0,210
focal_loss,4,0,1,3
focal_loss,4,0,2,16
focal_loss,4,0,3,23
focal_loss,4,0,4,34
focal_loss,4,0,5,6
focal_loss,4,0,6,10
focal_loss,4,0,7,14
focal_loss,4,0,8,145
focal_loss,4,0,9,39
focal_loss,4,1,0,6
focal_loss,4,1,1,274
focal_loss,4,1,2,0
focal_loss,4,1,3,8
focal_loss,4,1,4,1
focal_loss,4,1,5,4
focal_loss,4,1,6,15
focal_loss,4,1,7,2
focal_loss,4,1,8,31
focal_loss,4,1,9,159
focal_loss,4,2,0,17
focal_loss,4,2,1,0
focal_loss,4,2,2,126
focal_loss,4,2,3,84
focal_loss,4,2,4,99
focal_loss,4,2,5,49
focal_loss,4,2,6,69
focal_loss,4,2,7,31
focal_loss,4,2,8,20
focal_loss,4,2,9,5
focal_loss,4,3,0,10
focal_loss,4,3,1,1
focal_loss,4,3,2,20
focal_loss,4,3,3,3096
focal_loss,4,3,4,265
focal_loss,4,3,5,920
focal_loss,4,3,6,382
focal_loss,4,3,7,158
focal_loss,4,3,8,85
focal_loss,4,3,9,63
focal_loss,4,4,0,25
focal_loss,4,4,1,0
focal_loss,4,4,2,18
focal_loss,4,4,3,251
