criterion,epoch,true_class,predicted_class,count
ce,3,5,2,16
ce,3,5,3,0
ce,3,5,4,0
ce,3,5,5,0
ce,3,5,6,0
ce,3,5,7,1
ce,3,5,8,2
ce,3,5,9,4
ce,3,6,0,1
ce,3,6,1,1
ce,3,6,2,25
ce,3,6,3,0
ce,3,6,4,0
ce,3,6,5,0
ce,3,6,6,0
ce,3,6,7,3
ce,3,6,8,2
ce,3,6,9,2
ce,3,7,0,1
ce,3,7,1,0
ce,3,7,2,15
ce,3,7,3,0
ce,3,7,4,0
ce,3,7,5,0
ce,3,7,6,0
ce,3,7,7,0
ce,3,7,8,1
ce,3,7,9,7
ce,3,8,0,9
ce,3,8,1,0
ce,3,8,2,7
ce,3,8,3,0
ce,3,8,4,0
ce,3,8,5,0
ce,3,8,6,0
ce,3,8,7,0
ce,3,8,8,7
ce,3,8,9,6
ce,3,9,0,1
ce,3,9,1,2
ce,3,9,2,2
ce,3,9,3,0
ce,3,9,4,0
ce,3,9,5,0
ce,3,9,6,0
ce,3,9,7,0
ce,3,9,8,1
ce,3,9,9,19
weighted_ce,1,0,0,6
weighted_ce,1,0,1,2
weighted_ce,1,0,2,0
weighted_ce,1,0,3,0
weighted_ce,1,0,4,0
weighted_ce,1,0,5,0
weighted_ce,1,0,6,5
weighted_ce,1,0,7,1
weighted_ce,1,0,8,9
weighted_ce,1,0,9,5
weighted_ce,1,1,0,10
weighted_ce,1,1,1,2
weighted_ce,1,1,2,2
weighted_ce,1,1,3,0
weighted_ce,1,1,4,0
weighted_ce,1,1,5,0
weighted_ce,1,1,6,2
weighted_ce,1,1,7,0
weighted_ce,1,1,8,10
weighted_ce,1,1,9,4
weighted_ce,1,2,0,1
weighted_ce,1,2,1,2
weighted_ce,1,2,2,0
weighted_ce,1,2,3,0
weighted_ce,1,2,4,0
weighted_ce,1,2,5,0
weighted_ce,1,2,6,3
weighted_ce,1,2,7,0
weighted_ce,1,2,8,13
weighted_ce,1,2,9,2
weighted_ce,1,3,0,2
weighted_ce,1,3,1,1
weighted_ce,1,3,2,0
weighted_ce,1,3,3,0
weighted_ce,1,3,4,0
weighted_ce,1,3,5,1
weighted_ce,1,3,6,2
weighted_ce,1,3,7,1
weighted_ce,1,3,8,10
weighted_ce,1,3,9,1
weighted_ce,1,4,0,3
weighted_ce,1,4,1,1
weighted_ce,1,4,2,0
weighted_ce,1,4,3,0
weighted_ce,1,4,4,0
weighted_ce,1,4,5,0
weighted_ce,1,4,6,5
weighted_ce,1,4,7,4
weighted_ce,1,4,8,11
weighted_ce,1,4,9,5
weighted_ce,1,5,0,2
weighted_ce,1,5,1,5
weighted_ce,1,5,2,0
weighted_ce,1,5,3,0
weighted_ce,1,5,4,0
weighted_ce,1,5,5,0
weighted_ce,1,5,6,3
weighted_ce,1,5,7,0
weighted_ce,1,5,8,16
weighted_ce,1,5,9,3
weighted_ce,1,6,0,4
weighted_ce,1,6,1,0
weighted_ce,1,6,2,0
weighted_ce,1,6,3,0
weighted_ce,1,6,4,0
weighted_ce,1,6,5,0
weighted_ce,1,6,6,7
weighted_ce,1,6,7,1
weighted_ce,1,6,8,13
weighted_ce,1,6,9,3
weighted_ce,1,7,0,2
weighted_ce,1,7,1,2
weighted_ce,1,7,2,0
weighted_ce,1,7,3,0
weighted_ce,1,7,4,0
weighted_ce,1,7,5,0
weighted_ce,1,7,6,0
weighted_ce,1,7,7,0
weighted_ce,1,7,8,12
weighted_ce,1,7,9,2
weighted_ce,1,8,0,7
weighted_ce,1,8,1,1
weighted_ce,1,8,2,2
weighted_ce,1,8,3,0
weighted_ce,1,8,4,0
weighted_ce,1,8,5,1
weighted_ce,1,8,6,2
weighted_ce,1,8,7,2
weighted_ce,1,8,8,6
weighted_ce,1,8,9,9
weighted_ce,1,9,0,4
weighted_ce,1,9,1,5
weighted_ce,1,9,2,0
weighted_ce,1,9,3,0
weighted_ce,1,9,4,0
weighted_ce,1,9,5,0
weighted_ce,1,9,6,0
weighted_ce,1,9,7,0
weighted_ce,1,9,8,13
weighted_ce,1,9,9,3
weighted_ce,2,0,0,3
weighted_ce,2,0,1,9
weighted_ce,2,0,2,0
weighted_ce,2,0,3,0
weighted_ce,2,0,4,0
weighted_ce,2,0,5,7
weighted_ce,2,0,6,0
weighted_ce,2,0,7,0
weighted_ce,2,0,8,1
weighted_ce,2,0,9,6
weighted_ce,2,1,0,7
weighted_ce,2,1,1,12
weighted_ce,2,1,2,0
weighted_ce,2,1,3,0
weighted_ce,2,1,4,0
weighted_ce,2,1,5,12
weighted_ce,2,1,6,0
weighted_ce,2,1,7,0
weighted_ce,2,1,8,1
weighted_ce,2,1,9,3
weighted_ce,2,2,0,4
weighted_ce,2,2,1,8
weighted_ce,2,2,2,0
weighted_ce,2,2,3,0
weighted_ce,2,2,4,2
weighted_ce,2,2,5,12
weighted_ce,2,2,6,0
weighted_ce,2,2,7,0
weighted_ce,2,2,8,0
weighted_ce,2,2,9,1
weighted_ce,2,3,0,4
weighted_ce,2,3,1,7
weighted_ce,2,3,2,0
weighted_ce,2,3,3,0
weighted_ce,2,3,4,0
weighted_ce,2,3,5,7
weighted_ce,2,3,6,0
weighted_ce,2,3,7,0
weighted_ce,2,3,8,0
weighted_ce,2,3,9,2
weighted_ce,2,4,0,3
weighted_ce,2,4,1,2
weighted_ce,2,4,2,0
weighted_ce,2,4,3,0
weighted_ce,2,4,4,0
weighted_ce,2,4,5,14
weighted_ce,2,4,6,0
weighted_ce,2,4,7,0
weighted_ce,2,4,8,0
weighted_ce,2,4,9,0
weighted_ce,2,5,0,6
weighted_ce,2,5,1,4
weighted_ce,2,5,2,0
weighted_ce,2,5,3,0
weighted_ce,2,5,4,0
weighted_ce,2,5,5,12
weighted_ce,2,5,6,0
weighted_ce,2,5,7,0
weighted_ce,2,5,8,0
weighted_ce,2,5,9,1
weighted_ce,2,6,0,5
weighted_ce,2,6,1,1
weighted_ce,2,6,2,0
weighted_ce,2,6,3,0
weighted_ce,2,6,4,0
weighted_ce,2,6,5,11
weighted_ce,2,6,6,0
weighted_ce,2,6,7,0
weighted_ce,2,6,8,1
weighted_ce,2,6,9,3
weighted_ce,2,7,0,6
weighted_ce,2,7,1,8
weighted_ce,2,7,2,0
weighted_ce,2,7,3,0
weighted_ce,2,7,4,0
weighted_ce,2,7,5,15
weighted_ce,2,7,6,0
weighted_ce,2,7,7,0
weighted_ce,2,7,8,0
weighted_ce,2,7,9,1
weighted_ce,2,8,0,3
weighted_ce,2,8,1,8
weighted_ce,2,8,2,0
weighted_ce,2,8,3,0
weighted_ce,2,8,4,0
weighted_ce,2,8,5,10
weighted_ce,2,8,6,0
weighted_ce,2,8,7,0
weighted_ce,2,8,8,0
weighted_ce,2,8,9,4
weighted_ce,2,9,0,3
weighted_ce,2,9,1,20
weighted_ce,2,9,2,0
weighted_ce,2,9,3,0
weighted_ce,2,9,4,0
weighted_ce,2,9,5,3
weighted_ce,2,9,6,0
weighted_ce,2,9,7,0
weighted_ce,2,9,8,0
weighted_ce,2,9,9,4
weighted_ce,3,0,0,1
weighted_ce,3,0,1,14
weighted_ce,3,0,2,2
weighted_ce,3,0,3,0
weighted_ce,3,0,4,0
weighted_ce,3,0,5,1
weighted_ce,3,0,6,0
weighted_ce,3,0,7,0
weighted_ce,3,0,8,1
weighted_ce,3,0,9,8
weighted_ce,3,1,0,0
weighted_ce,3,1,1,16
weighted_ce,3,1,2,0
weighted_ce,3,1,3,0
weighted_ce,3,1,4,2
weighted_ce,3,1,5,3
weighted_ce,3,1,6,1
weighted_ce,3,1,7,0
weighted_ce,3,1,8,0
weighted_ce,3,1,9,8
weighted_ce,3,2,0,1
weighted_ce,3,2,1,6
