criterion,epoch,train_accuracy,test_accuracy
ce,1,0.5487671232876712,0.3579
ce,2,0.6921643835616438,0.6085
ce,3,0.7686849315068494,0.6281
ce,4,0.812027397260274,0.6712
ce,5,0.8428219178082191,0.6714
ce,6,0.8646301369863014,0.6684
ce,7,0.8838904109589041,0.6776
ce,8,0.9003013698630137,0.6948
ce,9,0.9127397260273973,0.7097
ce,10,0.9232876712328767,0.7123
ce,11,0.933041095890411,0.7336
ce,12,0.9432602739726027,0.738
ce,13,0.9487671232876712,0.745
ce,14,0.9547397260273972,0.7315
ce,15,0.960027397260274,0.7266
ce,16,0.9603835616438356,0.7146
ce,17,0.9664657534246576,0.7228
ce,18,0.9676986301369863,0.7412
ce,19,0.9683835616438357,0.7219
ce,20,0.9714246575342466,0.724
