criterion,epoch,ece_mean,ece_std,ece_ci_low,ece_ci_high,count,n_seeds
ce,1,0.09542039665710049,0.020353329656636793,0.07757991661426518,0.1132608766999358,50000,5
ce,2,0.07980001683403021,0.02512067002069404,0.05778077871783795,0.10181925495022247,50000,5
ce,3,0.06359655613052942,0.01667348687067519,0.04898160050513567,0.07821151175592317,50000,5
ce,4,0.08457552807925446,0.009885139486159081,0.0759108212868718,0.09324023487163713,50000,5
ce,5,0.0940106915887073,0.008779717926006271,0.08631492951522449,0.10170645366219011,50000,5
ce,6,0.1000260203891196,0.00810506301577848,0.09292161941796115,0.10713042136027806,50000,5
ce,7,0.11091867443731881,0.005022315597674917,0.10651642071762224,0.11532092815701539,50000,5
ce,8,0.10996464751905018,0.007891977476822753,0.10304702425794159,0.11688227078015877,50000,5
ce,9,0.11211143761231172,0.011176241483829036,0.10231503002152015,0.1219078452031033,50000,5
ce,10,0.11716715888856777,0.009272531513849842,0.10903942665948467,0.12529489111765085,50000,5
ce,11,0.11620624685058809,0.0074392336348871905,0.10968547106420873,0.12272702263696744,50000,5
ce,12,0.12425599642624505,0.004970660964218801,0.11989901998907868,0.12861297286341142,50000,5
ce,13,0.1168057075760847,0.005760557024189226,0.1117563567150991,0.1218550584370703,50000,5
ce,14,0.12082333758061618,0.005247496055302757,0.11622370448721915,0.1254229706740132,50000,5
ce,15,0.12285359349241205,0.0064510544063701115,0.11719899499016835,0.12850819199465577,50000,5
ce,16,0.11544821033222204,0.006976426241703737,0.10933310311216857,0.12156331755227551,50000,5
ce,17,0.12178622614103059,0.005645947614402174,0.11683733485705382,0.12673511742500734,50000,5
ce,18,0.1203984033279453,0.0038808424234305972,0.116996694960193,0.12380011169569759,50000,5
ce,19,0.11700797209603771,0.00788237093923127,0.11009876933639363,0.12391717485568178,50000,5
ce,20,0.12187782973730543,0.006643801792898574,0.1160542807016266,0.12770137877298426,50000,5
focal_loss,1,0.027802996887590165,0.004486003524154234,0.02387084142728367,0.03173515234789666,50000,5
focal_loss,2,0.0451991167817132,0.006524098118895053,0.039480492642507886,0.05091774092091851,50000,5
focal_loss,3,0.04798811738694517,0.011736318374554062,0.03770078075604074,0.058275454017849594,50000,5
focal_loss,4,0.03516948463900761,0.010602672603572914,0.025875832338580235,0.04446313693943499,50000,5
focal_loss,5,0.03270960294335875,0.00584960470465498,0.027582198349003193,0.03783700753771431,50000,5
focal_loss,6,0.027223586295418656,0.010002872433481321,0.01845568202466165,0.03599149056617566,50000,5
focal_loss,7,0.022268225505677183,0.001639201398331465,0.020831402129528293,0.023705048881826073,50000,5
focal_loss,8,0.02041595472562448,0.004951792948957692,0.016075516833030053,0.02475639261821891,50000,5
focal_loss,9,0.0263855900664894,0.011196754678409184,0.016571201867871203,0.036199978265107596,50000,5
focal_loss,10,0.023585463240736525,0.0059823946977100115,0.01834166308550948,0.028829263395963572,50000,5
focal_loss,11,0.03738939390707584,0.011473351477204085,0.02733255792462766,0.047446229889524016,50000,5
focal_loss,12,0.035194191428735325,0.004363786436661122,0.03136916396896231,0.03901921888850834,50000,5
focal_loss,13,0.04170172176541571,0.00412829158177147,0.0380831146471655,0.04532032888366591,50000,5
focal_loss,14,0.03952862419037499,0.006372375381566244,0.033942990894094305,0.04511425748665568,50000,5
focal_loss,15,0.05108206652358739,0.008484361472772312,0.043645195796058134,0.05851893725111665,50000,5
focal_loss,16,0.04893857582178166,0.005860769661614145,0.0438013847111573,0.054075766932406025,50000,5
focal_loss,17,0.05057640690837162,0.003717283697746795,0.04731806408476468,0.053834749731978555,50000,5
focal_loss,18,0.053682556664049544,0.004777303356907019,0.049495065642418186,0.0578700476856809,50000,5
focal_loss,19,0.05468308873064792,0.003668039277779839,0.05146791054429998,0.057898266916995865,50000,5
focal_loss,20,0.058915913154214905,0.008453806366981731,0.05150582515777977,0.06632600115065004,50000,5
label_smoothing_ce,1,0.03807639562527199,0.029042957005004765,0.012619121382000605,0.06353366986854338,50000,5
label_smoothing_ce,2,0.03513156598838453,0.02101381020490812,0.016712149219278823,0.053550982757490234,50000,5
label_smoothing_ce,3,0.03566056460784134,0.013950187636374262,0.023432686009147833,0.04788844320653485,50000,5
label_smoothing_ce,4,0.026770699356493427,0.00749763289682124,0.02019873436006209,0.03334266435292476,50000,5
label_smoothing_ce,5,0.024127920714357064,0.004408254027887421,0.020263915692327203,0.027991925736386924,50000,5
label_smoothing_ce,6,0.02948775439654592,0.008774835310263318,0.021796272124461138,0.0371792366686307,50000,5
label_smoothing_ce,7,0.02748594368373381,0.006384806125947891,0.021889414359589396,0.03308247300787823,50000,5
label_smoothing_ce,8,0.03244441222535007,0.0027970242455787426,0.02999271237700105,0.03489611207369909,50000,5
label_smoothing_ce,9,0.03793628034478507,0.005608433393386943,0.03302027172534701,0.042852288964223134,50000,5
label_smoothing_ce,10,0.03505145039467174,0.0029667111431836888,0.03245101342265192,0.037651887366691554,50000,5
label_smoothing_ce,11,0.030743024110824236,0.004929592567754569,0.02642204571033647,0.035064002511312004,50000,5
label_smoothing_ce,12,0.03278305113517952,0.0014726726928450938,0.03149219660525428,0.034073905665104764,50000,5
label_smoothing_ce,13,0.035624894623557474,0.009204044342384678,0.027557194047099637,0.04369259520001531,50000,5
label_smoothing_ce,14,0.0379150108856641,0.011608544108397827,0.027739673337160663,0.048090348434167526,50000,5
label_smoothing_ce,15,0.03532189749679518,0.007295024415231944,0.028927526664723303,0.04171626832886706,50000,5
label_smoothing_ce,16,0.03453257582476055,0.006429461589358907,0.028896904261128648,0.04016824738839245,50000,5
label_smoothing_ce,17,0.03539301683796529,0.006528076493562172,0.02967090549961128,0.04111512817631929,50000,5
label_smoothing_ce,18,0.0341877583972251,0.0034413771709695166,0.031171258307347627,0.03720425848710257,50000,5
label_smoothing_ce,19,0.033085662264993806,0.005534098898305959,0.02823481070331283,0.03793651382667478,50000,5
label_smoothing_ce,20,0.032915514359035725,0.005496717545293084,0.028097428997954407,0.03773359972011704,50000,5
