criterion,epoch,ece_mean,ece_std,ece_ci_low,ece_ci_high,count,n_seeds
ce,1,0.1559074773754873,0.05654478165674066,0.10634379095700403,0.20547116379397057,50000,5
ce,2,0.13852636937884352,0.03648079956758827,0.10654953867782799,0.17050320007985906,50000,5
ce,3,0.14222949950932834,0.01902259240847478,0.12555546209374888,0.1589035369249078,50000,5
ce,4,0.15320626308299318,0.015522598783073797,0.13960010534496103,0.16681242082102532,50000,5
ce,5,0.1580140473506189,0.017853148510345463,0.14236507270745855,0.17366302199377928,50000,5
ce,6,0.1627292840862245,0.01101875050661292,0.15307092342354497,0.17238764474890403,50000,5
ce,7,0.17458907773087115,0.014361910473038383,0.162000308153915,0.1871778473078273,50000,5
ce,8,0.17025783825176122,0.014931729918052397,0.15716959990933566,0.18334607659418678,50000,5
ce,9,0.18638209164124037,0.011120561832962245,0.176634489416295,0.19612969386618573,50000,5
ce,10,0.19377354586946988,0.015643566789474407,0.1800613549987553,0.20748573674018445,50000,5
ce,11,0.20028727683657088,0.03009720011279932,0.1739059177657945,0.22666863590734726,50000,5
ce,12,0.18581231414972119,0.021127866272651823,0.16729292282929276,0.20433170547014962,50000,5
ce,13,0.19032721007761352,0.01984948886191954,0.17292836596337374,0.2077260541918533,50000,5
ce,14,0.1897195576016498,0.013064998395318437,0.1782675815828096,0.20117153362049,50000,5
ce,15,0.1873406062508528,0.005524033501191385,0.18249857739874195,0.19218263510296366,50000,5
ce,16,0.19139383088615486,0.009371121364602171,0.18317968084266764,0.19960798092964208,50000,5
ce,17,0.18918984098124134,0.010154031607132656,0.18028943985290316,0.1980902421095795,50000,5
ce,18,0.1885473671790851,0.014290783777979103,0.1760209428991946,0.2010737914589756,50000,5
ce,19,0.1962529885438942,0.0038633307836542815,0.19286662980518135,0.19963934728260704,50000,5
ce,20,0.1814277915438073,0.011650744641718266,0.17121546359691692,0.1916401194906977,50000,5
class_balanced_loss,1,0.10758977992300207,0.04563422171841821,0.06758962095283136,0.1475899388931728,50000,5
class_balanced_loss,2,0.19000236910356483,0.0793210572469625,0.12047439689143151,0.25953034131569813,50000,5
class_balanced_loss,3,0.13172003862609638,0.055059113098758536,0.0834585981155845,0.17998147913660828,50000,5
class_balanced_loss,4,0.10094453500305012,0.02085659327626036,0.0826629249478951,0.11922614505820514,50000,5
class_balanced_loss,5,0.10695684364977401,0.012560827470942698,0.09594679293093356,0.11796689436861446,50000,5
class_balanced_loss,6,0.11596817731516915,0.01627786779972769,0.1016999970950223,0.13023635753531598,50000,5
class_balanced_loss,7,0.12872475142408235,0.026706352911255775,0.10531560097214077,0.15213390187602394,50000,5
class_balanced_loss,8,0.1370429165168631,0.024411302208135033,0.11564546670344428,0.1584403663302819,50000,5
class_balanced_loss,9,0.12605457094356246,0.007672649099712276,0.11932919748141445,0.13277994440571048,50000,5
class_balanced_loss,10,0.12934800935465557,0.018660218309492993,0.11299160684157065,0.14570441186774047,50000,5
class_balanced_loss,11,0.136763263213836,0.014687126686146686,0.12388942905740091,0.1496370973702711,50000,5
class_balanced_loss,12,0.12339376940128717,0.010307632728320082,0.11435873095397804,0.13242880784859629,50000,5
class_balanced_loss,13,0.13977781006474427,0.010991205903365745,0.13014359331133213,0.1494120268181564,50000,5
