criterion,epoch,train_accuracy,test_accuracy
label_smoothing_ce,1,0.51436,0.5261
label_smoothing_ce,2,0.70788,0.7129
label_smoothing_ce,3,0.78296,0.7463
label_smoothing_ce,4,0.82724,0.7526
label_smoothing_ce,5,0.85448,0.7954
label_smoothing_ce,6,0.87834,0.7913
label_smoothing_ce,7,0.89676,0.7959
label_smoothing_ce,8,0.91012,0.7828
label_smoothing_ce,9,0.92194,0.8015
label_smoothing_ce,10,0.931,0.7984
label_smoothing_ce,11,0.93602,0.7976
label_smoothing_ce,12,0.94626,0.8084
label_smoothing_ce,13,0.94844,0.7937
label_smoothing_ce,14,0.95482,0.7886
label_smoothing_ce,15,0.95728,0.8072
label_smoothing_ce,16,0.96128,0.8191
label_smoothing_ce,17,0.96248,0.8232
label_smoothing_ce,18,0.96732,0.8237
label_smoothing_ce,19,0.96804,0.8305
label_smoothing_ce,20,0.96874,0.8256
