split,criterion,seed,epoch,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Top-3 Acc,Macro Recall@3
balanced,ce,seed_33,14,0.8044,0.8147854531539543,0.8044,0.8055677859823748,0.8055677859823748,0.9535,0.9535
balanced,ce,seed_33,15,0.8015,0.817006658062783,0.8014999999999999,0.8038771259805927,0.8038771259805926,0.9538,0.9538
balanced,ce,seed_33,16,0.8317,0.8326427111927257,0.8317,0.8309830582731964,0.8309830582731965,0.9616,0.9616000000000001
balanced,ce,seed_33,17,0.8182,0.8212919172869642,0.8182,0.8177698059039624,0.8177698059039623,0.9595,0.9594999999999999
balanced,ce,seed_33,18,0.8177,0.8349865767105218,0.8177,0.8210695854524408,0.8210695854524409,0.9612,0.9612
balanced,ce,seed_33,19,0.8073,0.822751501220918,0.8073,0.8105155571195632,0.8105155571195634,0.9548,0.9548
balanced,ce,seed_33,20,0.8283,0.8294596562922427,0.8282999999999999,0.8276015673044543,0.8276015673044543,0.9642,0.9641999999999997
balanced,ce,seed_45,1,0.6177,0.6273995601224993,0.6176999999999999,0.6060456466948144,0.6060456466948145,0.8782,0.8782000000000002
balanced,ce,seed_45,2,0.6944,0.7224002929342113,0.6944,0.6914072418220135,0.6914072418220134,0.9282,0.9282
balanced,ce,seed_45,3,0.7417,0.7640770143587857,0.7417,0.7438277879294405,0.7438277879294404,0.9393,0.9393
balanced,ce,seed_45,4,0.7485,0.776974205437118,0.7485000000000002,0.7536444170191832,0.753644417019183,0.9408,0.9408
balanced,ce,seed_45,5,0.7558,0.7716361074374773,0.7558,0.7556976519611861,0.7556976519611859,0.9447,0.9446999999999999
balanced,ce,seed_45,6,0.7914,0.7980228825977546,0.7914000000000001,0.790006273011288,0.7900062730112879,0.9535,0.9535
balanced,ce,seed_45,7,0.7765,0.793318995413402,0.7765000000000001,0.7786639958698355,0.7786639958698355,0.9448,0.9448000000000001
balanced,ce,seed_45,8,0.7832,0.7997345961471841,0.7832,0.7859197768921179,0.7859197768921181,0.9509,0.9509000000000001
balanced,ce,seed_45,9,0.8075,0.8148287333841996,0.8074999999999999,0.8086187169595851,0.808618716959585,0.9583,0.9582999999999998
balanced,ce,seed_45,10,0.7999,0.8031949683499381,0.7998999999999999,0.7990431725991332,0.7990431725991332,0.9535,0.9535
balanced,ce,seed_45,11,0.803,0.817773293148172,0.8029999999999999,0.8051644648783375,0.8051644648783377,0.9553,0.9553
balanced,ce,seed_45,12,0.7896,0.8127275932748301,0.7896,0.7937439376604214,0.7937439376604214,0.9576,0.9576
balanced,ce,seed_45,13,0.8045,0.8073825399449814,0.8045,0.8037223158331864,0.8037223158331865,0.9566,0.9565999999999999
balanced,ce,seed_45,14,0.8076,0.8168116040886945,0.8076000000000001,0.8082929879627235,0.8082929879627234,0.9531,0.9530999999999998
balanced,ce,seed_45,15,0.8179,0.8221823558189041,0.8179000000000001,0.8175711861362709,0.817571186136271,0.9599,0.9599
balanced,ce,seed_45,16,0.8242,0.8309740914150419,0.8242,0.8250620185573085,0.8250620185573088,0.9611,0.9610999999999998
balanced,ce,seed_45,17,0.8277,0.8370166583049574,0.8277000000000001,0.8280248912365362,0.8280248912365362,0.9624,0.9624
balanced,ce,seed_45,18,0.8164,0.8299514796809229,0.8164,0.8184667512267305,0.8184667512267304,0.9632,0.9631999999999998
balanced,ce,seed_45,19,0.8343,0.8390320838010965,0.8343,0.834744737204254,0.834744737204254,0.9659,0.9658999999999999
balanced,ce,seed_45,20,0.8116,0.8231842064688145,0.8116,0.8128073152053139,0.8128073152053139,0.954,0.954
balanced,ce,seed_255,1,0.5967,0.6158168492091901,0.5967,0.5908105280848582,0.5908105280848582,0.8826,0.8825999999999998
balanced,ce,seed_255,2,0.6928,0.7096147548594055,0.6927999999999999,0.6892287578715539,0.689228757871554,0.9182,0.9182
balanced,ce,seed_255,3,0.7357,0.7547046879424094,0.7357,0.7330531599684498,0.7330531599684497,0.9407,0.9407
balanced,ce,seed_255,4,0.7332,0.7623309133330326,0.7332,0.7282354997161999,0.7282354997161999,0.9312,0.9312000000000001
balanced,ce,seed_255,5,0.7531,0.7753659281746599,0.7530999999999999,0.750713280723246,0.750713280723246,0.9452,0.9452
balanced,ce,seed_255,6,0.7717,0.7833298936525429,0.7716999999999998,0.7701650593422457,0.7701650593422457,0.9468,0.9468
balanced,ce,seed_255,7,0.7566,0.7814861066995041,0.7566,0.753987664472695,0.753987664472695,0.9339,0.9339000000000001
balanced,ce,seed_255,8,0.7745,0.795403953373216,0.7745,0.7749989970762953,0.7749989970762952,0.9491,0.9490999999999999
balanced,ce,seed_255,9,0.7787,0.7963235106512971,0.7787000000000001,0.7771236349048553,0.7771236349048553,0.9462,0.9462000000000002
balanced,ce,seed_255,10,0.7997,0.8074560275229073,0.7997,0.7985247952933567,0.7985247952933567,0.9531,0.9531000000000001
balanced,ce,seed_255,11,0.817,0.8201899691330619,0.817,0.817418112793146,0.8174181127931461,0.9588,0.9588000000000001
balanced,ce,seed_255,12,0.7967,0.8033375400255565,0.7967000000000001,0.7943767808730734,0.7943767808730733,0.951,0.951
balanced,ce,seed_255,13,0.8161,0.8219447226577283,0.8161000000000002,0.8171951397690431,0.8171951397690431,0.9591,0.9591
balanced,ce,seed_255,14,0.8156,0.8191899670766981,0.8156000000000001,0.8146654126860036,0.8146654126860036,0.9584,0.9583999999999999
balanced,ce,seed_255,15,0.81,0.8170866587211856,0.8099999999999999,0.8102610199843643,0.8102610199843641,0.9581,0.9580999999999997
balanced,ce,seed_255,16,0.8241,0.8233486370089654,0.8240999999999999,0.8222182902699446,0.8222182902699448,0.9592,0.9592
balanced,ce,seed_255,17,0.8171,0.8211992822828895,0.8170999999999999,0.816339249447649,0.8163392494476489,0.9533,0.9532999999999999
balanced,ce,seed_255,18,0.826,0.8314179508260289,0.826,0.8271282194968258,0.8271282194968259,0.9623,0.9623000000000002
balanced,ce,seed_255,19,0.8271,0.8288689785690819,0.8271,0.8261837831381375,0.8261837831381373,0.9622,0.9621999999999999
balanced,ce,seed_255,20,0.8269,0.8303128861891615,0.8269,0.8266699005321794,0.8266699005321793,0.9591,0.9591
balanced,focal_loss,seed_2,1,0.5706,0.5740805669153916,0.5706,0.5630351361388488,0.5630351361388489,0.8558,0.8558
balanced,focal_loss,seed_2,2,0.6762,0.6858944302838963,0.6761999999999999,0.6727091392273242,0.672709139227324,0.9127,0.9126999999999998
balanced,focal_loss,seed_2,3,0.6944,0.7178889779825215,0.6944,0.6953046970871042,0.6953046970871043,0.917,0.917
balanced,focal_loss,seed_2,4,0.7233,0.7409981344902807,0.7233,0.7228486058741808,0.7228486058741806,0.9309,0.9308999999999997
balanced,focal_loss,seed_2,5,0.7314,0.7598035364942192,0.7314,0.7337978804277181,0.7337978804277182,0.933,0.9329999999999998
balanced,focal_loss,seed_2,6,0.74,0.7673642434031323,0.74,0.7407242310269619,0.7407242310269619,0.9458,0.9458
balanced,focal_loss,seed_2,7,0.7425,0.7647324272541574,0.7424999999999999,0.7422447321535701,0.7422447321535702,0.9426,0.9426000000000002
balanced,focal_loss,seed_2,8,0.747,0.7607496882397469,0.747,0.7446667874676102,0.7446667874676103,0.941,0.9410000000000001
balanced,focal_loss,seed_2,9,0.7634,0.7695326245436134,0.7634000000000001,0.760403439253689,0.760403439253689,0.9436,0.9436
balanced,focal_loss,seed_2,10,0.779,0.7839452283504299,0.779,0.7785195753401671,0.7785195753401672,0.9494,0.9494
balanced,focal_loss,seed_2,11,0.7803,0.7865918768293596,0.7803000000000001,0.7810029683133617,0.7810029683133618,0.9486,0.9485999999999999
