criterion,epoch,n_seeds,Accuracy Mean,Accuracy Std,Accuracy CI Low,Accuracy CI High,Macro Precision Mean,Macro Precision Std,Macro Precision CI Low,Macro Precision CI High,Macro Recall Mean,Macro Recall Std,Macro Recall CI Low,Macro Recall CI High,Macro F1 Mean,Macro F1 Std,Macro F1 CI Low,Macro F1 CI High,Weighted F1 Mean,Weighted F1 Std,Weighted F1 CI Low,Weighted F1 CI High,Top-3 Acc Mean,Top-3 Acc Std,Top-3 Acc CI Low,Top-3 Acc CI High,Macro Recall@3 Mean,Macro Recall@3 Std,Macro Recall@3 CI Low,Macro Recall@3 CI High
ce,1,5,0.59794,0.020708283366807603,0.5797883893122401,0.61609161068776,0.6272546425102845,0.013610906223078055,0.6153241571826149,0.6391851278379541,0.59794,0.020708283366807554,0.5797883893122402,0.6160916106877599,0.5935457463410556,0.015951792823130136,0.5795633834397748,0.6075281092423365,0.5935457463410556,0.01595179282313022,0.5795633834397748,0.6075281092423365,0.87784,0.005296508283765856,0.8731974057941706,0.8824825942058293,0.87784,0.0052965082837658425,0.8731974057941706,0.8824825942058293
ce,2,5,0.6901200000000001,0.027782584473011167,0.6657674909908651,0.7144725090091351,0.7109085923185086,0.01798356342174413,0.6951453039653387,0.7266718806716784,0.6901200000000001,0.02778258447301113,0.6657674909908651,0.7144725090091351,0.6871466641445187,0.02706072597613796,0.6634268920056883,0.7108664362833492,0.6871466641445187,0.027060725976137918,0.6634268920056884,0.7108664362833491,0.9200200000000001,0.009890500492897223,0.9113505940780237,0.9286894059219765,0.9200200000000001,0.009890500492897192,0.9113505940780237,0.9286894059219765
ce,3,5,0.74486,0.0069099927641061805,0.7388031242905273,0.7509168757094726,0.7583629216861452,0.004005231497472731,0.754852181487708,0.7618736618845823,0.7448600000000001,0.006909992764106214,0.7388031242905274,0.7509168757094727,0.7427834522923596,0.006345978554048684,0.737220956835561,0.7483459477491583,0.7427834522923596,0.00634597855404872,0.737220956835561,0.7483459477491583,0.9394,0.0017902513789968307,0.9378307754781422,0.9409692245218578,0.9394,0.0017902513789967906,0.9378307754781422,0.9409692245218578
ce,4,5,0.74968,0.010193478307231552,0.7407450223145214,0.7586149776854786,0.7653994121937782,0.007938134320197132,0.7584413306756201,0.7723574937119362,0.7496799999999999,0.010193478307231555,0.7407450223145213,0.7586149776854785,0.746839418443791,0.011127332470629516,0.7370858814932643,0.7565929553943177,0.746839418443791,0.011127332470629534,0.7370858814932642,0.7565929553943178,0.93826,0.004525262423329699,0.9342934325973205,0.9422265674026795,0.93826,0.004525262423329742,0.9342934325973205,0.9422265674026795
ce,5,5,0.76072,0.013943349669286793,0.7484981151437268,0.7729418848562731,0.7734548139546397,0.011042917954168214,0.7637752695901743,0.783134358319105,0.76072,0.013943349669286793,0.7484981151437268,0.7729418848562731,0.7588518100294147,0.014164268643319888,0.7464362811545062,0.7712673389043232,0.7588518100294147,0.014164268643319895,0.7464362811545061,0.7712673389043233,0.9451,0.004685616288173848,0.94099287623756,0.9492071237624401,0.9451,0.00468561628817385,0.94099287623756,0.9492071237624401
ce,6,5,0.7725799999999999,0.011144595102559806,0.7628113316854342,0.7823486683145656,0.7821583912514809,0.00987469677451178,0.7735028378994384,0.7908139446035234,0.7725799999999999,0.011144595102559805,0.7628113316854342,0.7823486683145656,0.770677548781781,0.011502495997904011,0.7605951665005858,0.7807599310629761,0.770677548781781,0.011502495997904007,0.7605951665005858,0.7807599310629761,0.9452,0.006575332691202764,0.9394364667780953,0.9509635332219047,0.9452,0.006575332691202799,0.9394364667780952,0.9509635332219049
ce,7,5,0.77562,0.011060831795122817,0.7659247534616184,0.7853152465383816,0.7889162436430099,0.006506485724415757,0.7832130574482351,0.7946194298377848,0.77562,0.011060831795122841,0.7659247534616184,0.7853152465383816,0.7740114982107006,0.011253995869546509,0.7641469358958399,0.7838760605255612,0.7740114982107006,0.011253995869546419,0.76414693589584,0.7838760605255611,0.9446199999999999,0.006180372157079242,0.9392026649503652,0.9500373350496346,0.9446199999999999,0.0061803721570791595,0.9392026649503653,0.9500373350496345
ce,8,5,0.78792,0.009969804411321228,0.779181081128652,0.7966589188713479,0.8000714923467163,0.00390311069429232,0.7966502649789478,0.8034927197144848,0.78792,0.009969804411321191,0.7791810811286521,0.7966589188713478,0.7878042937255071,0.008852195804109553,0.7800450019908012,0.795563585460213,0.787804293725507,0.008852195804109547,0.7800450019908011,0.7955635854602129,0.95182,0.004612699860168664,0.9477767903047207,0.9558632096952793,0.95182,0.004612699860168655,0.9477767903047207,0.9558632096952793
ce,9,5,0.79182,0.01050842519124537,0.7826089591988744,0.8010310408011255,0.8013660479222718,0.00992664903804,0.7926649564034385,0.8100671394411052,0.79182,0.010508425191245329,0.7826089591988744,0.8010310408011255,0.7915955362894019,0.011602421270597974,0.7814255656448605,0.8017655069339433,0.7915955362894018,0.011602421270597947,0.7814255656448604,0.8017655069339432,0.9521000000000001,0.005290085065478617,0.9474630359932388,0.9567369640067613,0.9521,0.005290085065478623,0.9474630359932387,0.9567369640067612
ce,10,5,0.7955599999999999,0.01021019098743996,0.7866103730044207,0.8045096269955792,0.8030905751887228,0.0058094062349841845,0.7979984061065912,0.8081827442708545,0.7955599999999999,0.010210190987439955,0.7866103730044207,0.8045096269955792,0.7955292047851167,0.009556085780436745,0.7871529262827974,0.8039054832874359,0.7955292047851167,0.009556085780436745,0.7871529262827974,0.8039054832874359,0.95344,0.0058367799341760155,0.9483238368126105,0.9585561631873895,0.95344,0.005836779934175986,0.9483238368126105,0.9585561631873895
