criterion,epoch,confidence,accuracy,count
weighted_ce,1,0.40159567934264184,0.2693,10000
weighted_ce,2,0.6117496928812377,0.503,10000
weighted_ce,3,0.6674131426456615,0.5921,10000
weighted_ce,4,0.6694218637247691,0.6058,10000
weighted_ce,5,0.7445297096234167,0.6623,10000
weighted_ce,6,0.7736293928208194,0.6747,10000
weighted_ce,7,0.7809180341130143,0.6696,10000
weighted_ce,8,0.8062548752022599,0.6884,10000
weighted_ce,9,0.8175123584400715,0.7074,10000
weighted_ce,10,0.8398343629154756,0.713,10000
weighted_ce,11,0.8490789335111529,0.708,10000
weighted_ce,12,0.8507391004011895,0.7385,10000
weighted_ce,13,0.8658189235386621,0.739,10000
weighted_ce,14,0.8593476312392633,0.7215,10000
weighted_ce,15,0.8796793560959928,0.7379,10000
weighted_ce,16,0.8912945018102467,0.7514,10000
weighted_ce,17,0.8749168054955884,0.7139,10000
weighted_ce,18,0.8931187248358432,0.7244,10000
weighted_ce,19,0.8891502132280368,0.7249,10000
weighted_ce,20,0.9026417523396815,0.7349,10000
weighted_ce,21,0.8975238084510861,0.733,10000
weighted_ce,22,0.9139268587433137,0.7492,10000
weighted_ce,23,0.9102473851130206,0.7219,10000
weighted_ce,24,0.8885585767404304,0.6988,10000
weighted_ce,25,0.8925401470658518,0.7386,10000
weighted_ce,26,0.9166381574259139,0.7655,10000
weighted_ce,27,0.9274954178264821,0.757,10000
weighted_ce,28,0.8935877125526452,0.7456,10000
weighted_ce,29,0.9114736159213599,0.7469,10000
weighted_ce,30,0.9147148611607451,0.7527,10000
weighted_ce,31,0.9230988720868192,0.7573,10000
weighted_ce,32,0.9279266914976039,0.7534,10000
weighted_ce,33,0.926084619781584,0.7255,10000
weighted_ce,34,0.9224229449220409,0.7678,10000
weighted_ce,35,0.9323875404537768,0.7516,10000
weighted_ce,36,0.9241398244345798,0.7619,10000
weighted_ce,37,0.942539121688709,0.7839,10000
weighted_ce,38,0.9035833667251105,0.7477,10000
weighted_ce,39,0.9184157015423722,0.7464,10000
weighted_ce,40,0.9288527031256517,0.7688,10000
weighted_ce,41,0.9394048583735017,0.7785,10000
weighted_ce,42,0.9466355206691538,0.7821,10000
weighted_ce,43,0.8981566895383502,0.7605,10000
weighted_ce,44,0.9341858012650901,0.7676,10000
weighted_ce,45,0.9331261486770412,0.7656,10000
weighted_ce,46,0.9383857579767717,0.778,10000
weighted_ce,47,0.9243466807234627,0.7401,10000
weighted_ce,48,0.9408809723808239,0.7804,10000
weighted_ce,49,0.9304934250326674,0.767,10000
weighted_ce,50,0.9228971540917824,0.759,10000
weighted_ce,51,0.941022592256807,0.7712,10000
weighted_ce,52,0.943668695097664,0.7649,10000
weighted_ce,53,0.934445148057309,0.7789,10000
weighted_ce,54,0.939041282025401,0.7793,10000
weighted_ce,55,0.9422504183035564,0.7811,10000
weighted_ce,56,0.918345341935195,0.7538,10000
weighted_ce,57,0.9398901051630061,0.788,10000
weighted_ce,58,0.9516093128706867,0.793,10000
weighted_ce,59,0.9088277501807072,0.7237,10000
weighted_ce,60,0.9315677847449653,0.7674,10000
weighted_ce,61,0.94786371072456,0.7837,10000
weighted_ce,62,0.9271290123670124,0.7544,10000
weighted_ce,63,0.9411662254963822,0.7818,10000
weighted_ce,64,0.9569603204469255,0.7812,10000
weighted_ce,65,0.9294499660329572,0.7762,10000
weighted_ce,66,0.9441286908948998,0.7889,10000
weighted_ce,67,0.9451242237662826,0.7824,10000
weighted_ce,68,0.9459931182073821,0.7797,10000
weighted_ce,69,0.9198804759868288,0.7326,10000
weighted_ce,70,0.9319465400460505,0.7679,10000
weighted_ce,71,0.9494388063275281,0.7986,10000
weighted_ce,72,0.9531021683722575,0.7913,10000
weighted_ce,73,0.9330912563857563,0.7411,10000
weighted_ce,74,0.9287609151956682,0.7919,10000
weighted_ce,75,0.9380076995019665,0.7731,10000
weighted_ce,76,0.947203675320836,0.786,10000
weighted_ce,77,0.9402584977416196,0.7905,10000
weighted_ce,78,0.9400421728571482,0.7869,10000
weighted_ce,79,0.9467776726162498,0.7882,10000
weighted_ce,80,0.938541119936822,0.7943,10000
