criterion,epoch,confidence,accuracy,count
focal_loss,1,0.44127360527011494,0.3325,10000
focal_loss,2,0.5775597703907737,0.5582,10000
focal_loss,3,0.6179488468827319,0.6158,10000
focal_loss,4,0.6563792072703857,0.6427,10000
focal_loss,5,0.6870984169378423,0.664,10000
focal_loss,6,0.7023770310381583,0.6727,10000
focal_loss,7,0.7103077946107019,0.6532,10000
focal_loss,8,0.728555714521251,0.6474,10000
focal_loss,9,0.7487746002290798,0.6624,10000
focal_loss,10,0.7726643376103318,0.6517,10000
focal_loss,11,0.7757586248896616,0.669,10000
focal_loss,12,0.7848466711287323,0.6681,10000
focal_loss,13,0.7926467309911428,0.6848,10000
focal_loss,14,0.8000366035853403,0.7062,10000
focal_loss,15,0.8180209403586828,0.7109,10000
focal_loss,16,0.8250338335471165,0.7083,10000
focal_loss,17,0.8216175122744193,0.6777,10000
focal_loss,18,0.8253082333442331,0.6993,10000
focal_loss,19,0.828733006620024,0.7088,10000
focal_loss,20,0.8420316559548237,0.7242,10000
focal_loss,21,0.836897139083249,0.7002,10000
focal_loss,22,0.8430944352594575,0.7262,10000
focal_loss,23,0.8389431764078278,0.7058,10000
focal_loss,24,0.843834007263885,0.7195,10000
focal_loss,25,0.8412583609463004,0.7192,10000
focal_loss,26,0.8495326434528312,0.73,10000
focal_loss,27,0.849337217086587,0.7129,10000
focal_loss,28,0.8555332268436581,0.7248,10000
focal_loss,29,0.855732177963206,0.7341,10000
focal_loss,30,0.8551344010334025,0.7079,10000
focal_loss,31,0.8686867166314036,0.741,10000
focal_loss,32,0.8523332002721292,0.7461,10000
focal_loss,33,0.8401057086675889,0.723,10000
focal_loss,34,0.8543104897066982,0.749,10000
focal_loss,35,0.8554716684981806,0.7234,10000
focal_loss,36,0.8581747141979149,0.7226,10000
focal_loss,37,0.8617933990641237,0.715,10000
focal_loss,38,0.8709576191865803,0.7331,10000
focal_loss,39,0.855596898476022,0.7212,10000
focal_loss,40,0.8654970691821596,0.7336,10000
focal_loss,41,0.8645886239016441,0.7,10000
focal_loss,42,0.8636153136385641,0.7493,10000
focal_loss,43,0.8566706145297294,0.7019,10000
focal_loss,44,0.8723099651537466,0.7341,10000
focal_loss,45,0.8618277924515504,0.7155,10000
focal_loss,46,0.8663524546758543,0.7548,10000
focal_loss,47,0.8660929419348351,0.7363,10000
focal_loss,48,0.8696368298460758,0.7475,10000
focal_loss,49,0.8617070858560126,0.7352,10000
focal_loss,50,0.8735929902538672,0.7042,10000
focal_loss,51,0.8794450401237122,0.7398,10000
focal_loss,52,0.8754292752319504,0.7473,10000
focal_loss,53,0.8671568317433334,0.7575,10000
focal_loss,54,0.8692842333377213,0.7565,10000
focal_loss,55,0.8764486574640256,0.7482,10000
focal_loss,56,0.8710099729911206,0.7581,10000
focal_loss,57,0.8779663037428369,0.7541,10000
focal_loss,58,0.8869843620293107,0.7752,10000
focal_loss,59,0.8814645685996498,0.742,10000
focal_loss,60,0.8792712866148306,0.7291,10000
focal_loss,61,0.8863432094753165,0.7537,10000
focal_loss,62,0.8875559974096204,0.7709,10000
focal_loss,63,0.8795317929110915,0.7146,10000
focal_loss,64,0.8681878395655601,0.7522,10000
focal_loss,65,0.8732303146683694,0.744,10000
focal_loss,66,0.884616275805284,0.7557,10000
focal_loss,67,0.8850930340601546,0.7492,10000
focal_loss,68,0.8804595781919373,0.7363,10000
focal_loss,69,0.8742938499958233,0.7287,10000
focal_loss,70,0.8743658939872515,0.7488,10000
focal_loss,71,0.8777633902499327,0.7386,10000
focal_loss,72,0.8872400625709984,0.7463,10000
focal_loss,73,0.876351529540442,0.7564,10000
focal_loss,74,0.877797043400609,0.735,10000
focal_loss,75,0.8882073931098258,0.749,10000
focal_loss,76,0.8749517544269143,0.7572,10000
focal_loss,77,0.8774282109923355,0.7423,10000
focal_loss,78,0.8833259215452793,0.7776,10000
focal_loss,79,0.870474796773518,0.7267,10000
focal_loss,80,0.8876965370512782,0.7595,10000
