criterion,epoch,train_accuracy,test_accuracy
label_smoothing_ce,1,0.5393150684931507,0.316
label_smoothing_ce,2,0.6902739726027397,0.543
label_smoothing_ce,3,0.7625479452054794,0.6245
label_smoothing_ce,4,0.8091232876712329,0.6627
label_smoothing_ce,5,0.8406301369863014,0.675
label_smoothing_ce,6,0.8643287671232877,0.6928
label_smoothing_ce,7,0.8864931506849315,0.682
label_smoothing_ce,8,0.9024109589041096,0.6762
label_smoothing_ce,9,0.916986301369863,0.6986
label_smoothing_ce,10,0.9236164383561644,0.722
label_smoothing_ce,11,0.9385479452054795,0.7019
label_smoothing_ce,12,0.9444657534246576,0.6966
label_smoothing_ce,13,0.9508219178082192,0.7241
label_smoothing_ce,14,0.9563287671232876,0.7171
label_smoothing_ce,15,0.9604657534246576,0.7301
label_smoothing_ce,16,0.963041095890411,0.7361
label_smoothing_ce,17,0.9644383561643836,0.7422
label_smoothing_ce,18,0.9684657534246576,0.7311
label_smoothing_ce,19,0.9696164383561644,0.7021
label_smoothing_ce,20,0.9699178082191781,0.746
