criterion,epoch,confidence,confidence_std,confidence_ci_low,confidence_ci_high,accuracy,accuracy_std,accuracy_ci_low,accuracy_ci_high,count,n_seeds
ce,1,0.5242191734988834,0.028121989434372423,0.4995691629240706,0.5488691840736961,0.36856,0.03226248595505312,0.34028068420629665,0.39683931579370335,50000,5
ce,2,0.7123492646465011,0.019328313536295647,0.6954072508471272,0.7292912784458749,0.5739,0.026823217554946682,0.5503884131713744,0.5974115868286255,50000,5
ce,3,0.7706595394609529,0.011725448225388183,0.760381730935893,0.7809373479860128,0.62854,0.019232862501458288,0.6116816527215744,0.6453983472784256,50000,5
ce,4,0.7936812890061002,0.013137833088102945,0.782165470564179,0.8051971074480215,0.6405000000000001,0.0212339351039792,0.621887635249652,0.6591123647503482,50000,5
ce,5,0.8180767419372199,0.010881399152549341,0.8085387750446196,0.8276147088298202,0.6601,0.02181513236265139,0.6409781933907908,0.6792218066092093,50000,5
ce,6,0.8331964800360199,0.012456728108496167,0.8222776764315106,0.8441152836405291,0.6705,0.016170961628796252,0.6563255271702966,0.6846744728297034,50000,5
ce,7,0.8515090777308701,0.006196237414211746,0.8460778361702114,0.8569403192915289,0.6769200000000001,0.018144200175262616,0.6610159073242138,0.6928240926757864,50000,5
ce,8,0.8620002354328535,0.007975796259546919,0.8550091417693276,0.8689913290963794,0.69176,0.014890701796758958,0.6787077243915094,0.7048122756084907,50000,5
ce,9,0.8814676527663934,0.007248571613838988,0.8751139996100122,0.8878213059227745,0.6952,0.011268762132550314,0.6853224944849421,0.705077505515058,50000,5
ce,10,0.8888535458694682,0.0030228855432062013,0.8862038698648464,0.8915032218740899,0.69508,0.013221648913808006,0.683490713747603,0.7066692862523971,50000,5
ce,11,0.8960590461914407,0.002492804781258425,0.8938740064607928,0.8982440859220886,0.6958,0.030767921606764424,0.6688307276182689,0.722769272381731,50000,5
ce,12,0.9009123141497206,0.006021727803986279,0.8956340370067288,0.9061905912927124,0.7151,0.02029630508245283,0.6973095042002758,0.7328904957997241,50000,5
ce,13,0.9093834039875844,0.002742115006566898,0.9069798342093165,0.9117869737658524,0.7190799999999999,0.02191316955622806,0.6998722600017596,0.7382877399982403,50000,5
ce,14,0.9132380508042945,0.0025265398887357065,0.911023440948176,0.9154526606604131,0.72358,0.014598527322987057,0.7107838266094899,0.7363761733905101,50000,5
ce,15,0.9190325009560951,0.005453225719932542,0.9142525378607788,0.9238124640514115,0.73176,0.008737448140046374,0.724101289027519,0.7394187109724809,50000,5
ce,16,0.9176496242674826,0.004619437911977641,0.9136005084093861,0.9216987401255792,0.72626,0.011434071890625855,0.716237594093233,0.7362824059067671,50000,5
ce,17,0.9210438717920267,0.003788181160983647,0.9177233846019057,0.9243643589821477,0.73192,0.012288083658569352,0.721149019773484,0.742690980226516,50000,5
ce,18,0.9247298473615759,0.002401201111740425,0.922625101787484,0.9268345929356678,0.73624,0.01455551441894101,0.7234815290822136,0.7489984709177864,50000,5
ce,19,0.9243489256421551,0.004718468008858027,0.9202130060769089,0.9284848452074013,0.72816,0.0075278150880584375,0.7215615791464927,0.7347584208535074,50000,5
ce,20,0.9256762991234464,0.0038198230092011394,0.9223280766304945,0.9290245216163983,0.74432,0.013584071554581871,0.7324130362963516,0.7562269637036484,50000,5
class_balanced_loss,1,0.43247383567097614,0.03243748264424805,0.4040411285160649,0.4609065428258874,0.32762,0.030512980844224314,0.3008741930493769,0.35436580695062314,50000,5
class_balanced_loss,2,0.6799432216377503,0.035361470448432804,0.6489475261685884,0.7109389171069123,0.49004000000000003,0.05011010876060836,0.44611655305693787,0.5339634469430622,50000,5
class_balanced_loss,3,0.704819799643002,0.02714632328267187,0.6810249981569001,0.7286146011291039,0.5737,0.029516436099231238,0.5478277030320073,0.5995722969679926,50000,5
