split,criterion,seed,epoch,confidence,accuracy,count
imbalanced,ce,seed_255,5,0.8158389756779397,0.6375,10000
imbalanced,ce,seed_255,6,0.8391305528471023,0.67,10000
imbalanced,ce,seed_255,7,0.8490920164976565,0.6721,10000
imbalanced,ce,seed_255,8,0.8664878859093362,0.6963,10000
imbalanced,ce,seed_255,9,0.8904706767565589,0.6912,10000
imbalanced,ce,seed_255,10,0.8919128052091435,0.6856,10000
imbalanced,ce,seed_255,11,0.8967600523713085,0.6484,10000
imbalanced,ce,seed_255,12,0.9066677721316919,0.708,10000
imbalanced,ce,seed_255,13,0.9111181253242552,0.7064,10000
imbalanced,ce,seed_255,14,0.9126113333802618,0.7045,10000
imbalanced,ce,seed_255,15,0.9149295593315843,0.7222,10000
imbalanced,ce,seed_255,16,0.9176048271479893,0.7182,10000
imbalanced,ce,seed_255,17,0.9258290247174693,0.7413,10000
imbalanced,ce,seed_255,18,0.9268029746241329,0.7286,10000
imbalanced,ce,seed_255,19,0.9267683810541146,0.7283,10000
imbalanced,ce,seed_255,20,0.9305689670051123,0.7591,10000
imbalanced,class_balanced_loss,seed_2,1,0.43704379879455146,0.3584,10000
imbalanced,class_balanced_loss,seed_2,2,0.692223860023181,0.5362,10000
imbalanced,class_balanced_loss,seed_2,3,0.721488756075231,0.5453,10000
imbalanced,class_balanced_loss,seed_2,4,0.7517893586612424,0.6425,10000
imbalanced,class_balanced_loss,seed_2,5,0.772535341862452,0.6632,10000
imbalanced,class_balanced_loss,seed_2,6,0.7880919040099027,0.6563,10000
imbalanced,class_balanced_loss,seed_2,7,0.7959414485391848,0.6609,10000
imbalanced,class_balanced_loss,seed_2,8,0.8029248740083259,0.6444,10000
imbalanced,class_balanced_loss,seed_2,9,0.8422258592711851,0.7208,10000
imbalanced,class_balanced_loss,seed_2,10,0.84896563524937,0.7129,10000
imbalanced,class_balanced_loss,seed_2,11,0.8554202929873114,0.735,10000
imbalanced,class_balanced_loss,seed_2,12,0.8577556917689543,0.7251,10000
imbalanced,class_balanced_loss,seed_2,13,0.8752207318615767,0.7265,10000
imbalanced,class_balanced_loss,seed_2,14,0.8815028550424057,0.7141,10000
imbalanced,class_balanced_loss,seed_2,15,0.8789642243045839,0.7304,10000
imbalanced,class_balanced_loss,seed_2,16,0.8857336831704921,0.7334,10000
imbalanced,class_balanced_loss,seed_2,17,0.8891316501313259,0.7411,10000
imbalanced,class_balanced_loss,seed_2,18,0.8445123235294324,0.6247,10000
imbalanced,class_balanced_loss,seed_2,19,0.8986598769951583,0.7439,10000
imbalanced,class_balanced_loss,seed_2,20,0.9001739730288187,0.7299,10000
imbalanced,class_balanced_loss,seed_18,1,0.48479423967626745,0.3004,10000
imbalanced,class_balanced_loss,seed_18,2,0.6385891795446368,0.5373,10000
imbalanced,class_balanced_loss,seed_18,3,0.6860819279410605,0.6095,10000
imbalanced,class_balanced_loss,seed_18,4,0.7038056644977592,0.6303,10000
imbalanced,class_balanced_loss,seed_18,5,0.7585312095035235,0.642,10000
imbalanced,class_balanced_loss,seed_18,6,0.7728940828523418,0.6664,10000
imbalanced,class_balanced_loss,seed_18,7,0.8023333273385227,0.6294,10000
imbalanced,class_balanced_loss,seed_18,8,0.8265448627179985,0.6687,10000
imbalanced,class_balanced_loss,seed_18,9,0.8430730346775365,0.7163,10000
imbalanced,class_balanced_loss,seed_18,10,0.8527558371383375,0.6953,10000
imbalanced,class_balanced_loss,seed_18,11,0.8498612949817838,0.6897,10000
imbalanced,class_balanced_loss,seed_18,12,0.8655255600113018,0.7329,10000
imbalanced,class_balanced_loss,seed_18,13,0.885807845910572,0.7415,10000
imbalanced,class_balanced_loss,seed_18,14,0.8865101474777295,0.7217,10000
imbalanced,class_balanced_loss,seed_18,15,0.8927896724752649,0.7436,10000
imbalanced,class_balanced_loss,seed_18,16,0.8978973946229882,0.7386,10000
imbalanced,class_balanced_loss,seed_18,17,0.9137015505551747,0.738,10000
imbalanced,class_balanced_loss,seed_18,18,0.8786659240667138,0.6925,10000
imbalanced,class_balanced_loss,seed_18,19,0.9111312278125151,0.7546,10000
imbalanced,class_balanced_loss,seed_18,20,0.910498616774027,0.7404,10000
imbalanced,class_balanced_loss,seed_33,1,0.4033473628470346,0.2898,10000
imbalanced,class_balanced_loss,seed_33,2,0.6735896265006932,0.4676,10000
imbalanced,class_balanced_loss,seed_33,3,0.6814036863317472,0.5957,10000
imbalanced,class_balanced_loss,seed_33,4,0.7490478921666917,0.6379,10000
imbalanced,class_balanced_loss,seed_33,5,0.7579097337229863,0.6578,10000
imbalanced,class_balanced_loss,seed_33,6,0.7767775855606212,0.6801,10000
imbalanced,class_balanced_loss,seed_33,7,0.7834797791101769,0.6722,10000
imbalanced,class_balanced_loss,seed_33,8,0.8140949430228989,0.7036,10000
imbalanced,class_balanced_loss,seed_33,9,0.8286688257138954,0.7111,10000
imbalanced,class_balanced_loss,seed_33,10,0.8482140141308911,0.7333,10000
imbalanced,class_balanced_loss,seed_33,11,0.8493638885992734,0.7106,10000
imbalanced,class_balanced_loss,seed_33,12,0.8613636163338019,0.7537,10000
imbalanced,class_balanced_loss,seed_33,13,0.8639216469541907,0.7249,10000
imbalanced,class_balanced_loss,seed_33,14,0.8662505777634516,0.7231,10000
imbalanced,class_balanced_loss,seed_33,15,0.8617979568583294,0.7225,10000
imbalanced,class_balanced_loss,seed_33,16,0.8728923836117348,0.7322,10000
imbalanced,class_balanced_loss,seed_33,17,0.8805172128826861,0.7063,10000
imbalanced,class_balanced_loss,seed_33,18,0.9018078823965195,0.7709,10000
imbalanced,class_balanced_loss,seed_33,19,0.8999334055567253,0.7334,10000
imbalanced,class_balanced_loss,seed_33,20,0.8948394676601611,0.7456,10000
imbalanced,class_balanced_loss,seed_45,1,0.4290006240398077,0.3417,10000
imbalanced,class_balanced_loss,seed_45,2,0.6624938201717511,0.491,10000
imbalanced,class_balanced_loss,seed_45,3,0.6906767060445103,0.5745,10000
imbalanced,class_balanced_loss,seed_45,4,0.7182461663602183,0.6338,10000
imbalanced,class_balanced_loss,seed_45,5,0.7587577809055368,0.6698,10000
imbalanced,class_balanced_loss,seed_45,6,0.7943261124183393,0.6602,10000
imbalanced,class_balanced_loss,seed_45,7,0.7981954094793791,0.6879,10000
imbalanced,class_balanced_loss,seed_45,8,0.8171540381636769,0.6698,10000
imbalanced,class_balanced_loss,seed_45,9,0.8022176066484575,0.6644,10000
imbalanced,class_balanced_loss,seed_45,10,0.8412270278889995,0.7139,10000
imbalanced,class_balanced_loss,seed_45,11,0.8254474856940102,0.6927,10000
imbalanced,class_balanced_loss,seed_45,12,0.8509450149775805,0.7301,10000
imbalanced,class_balanced_loss,seed_45,13,0.8572023973449936,0.7361,10000
imbalanced,class_balanced_loss,seed_45,14,0.8723689175984398,0.725,10000
imbalanced,class_balanced_loss,seed_45,15,0.8720867609059496,0.7326,10000
imbalanced,class_balanced_loss,seed_45,16,0.8740312165464807,0.7108,10000
imbalanced,class_balanced_loss,seed_45,17,0.8882305317459579,0.7452,10000
imbalanced,class_balanced_loss,seed_45,18,0.8814172087869636,0.7459,10000
imbalanced,class_balanced_loss,seed_45,19,0.8943598348118303,0.7403,10000
imbalanced,class_balanced_loss,seed_45,20,0.9215073236852953,0.7746,10000
imbalanced,class_balanced_loss,seed_255,1,0.40818315299721947,0.3478,10000
imbalanced,class_balanced_loss,seed_255,2,0.7328196219484898,0.4181,10000
imbalanced,class_balanced_loss,seed_255,3,0.7444479218224611,0.5435,10000
imbalanced,class_balanced_loss,seed_255,4,0.7518600546907298,0.6268,10000
imbalanced,class_balanced_loss,seed_255,5,0.7531900919440043,0.6335,10000
imbalanced,class_balanced_loss,seed_255,6,0.7875706732287919,0.6774,10000
imbalanced,class_balanced_loss,seed_255,7,0.7957737926531435,0.6817,10000
imbalanced,class_balanced_loss,seed_255,8,0.8110280589303533,0.7002,10000
imbalanced,class_balanced_loss,seed_255,9,0.8165649133744272,0.69,10000
imbalanced,class_balanced_loss,seed_255,10,0.8325839991470737,0.7225,10000
imbalanced,class_balanced_loss,seed_255,11,0.8435518497930546,0.7121,10000
imbalanced,class_balanced_loss,seed_255,12,0.8667728732499158,0.7437,10000
imbalanced,class_balanced_loss,seed_255,13,0.8642747804077373,0.7187,10000
imbalanced,class_balanced_loss,seed_255,14,0.8748790539828935,0.7543,10000
imbalanced,class_balanced_loss,seed_255,15,0.8708035084825042,0.7335,10000
imbalanced,class_balanced_loss,seed_255,16,0.8922391769172869,0.7459,10000
imbalanced,class_balanced_loss,seed_255,17,0.8966465998103739,0.7606,10000
imbalanced,class_balanced_loss,seed_255,18,0.8854983111265774,0.7389,10000
