criterion,epoch,true_class,predicted_class,count
ce,1,0,0,2700
ce,1,0,1,236
ce,1,0,2,395
ce,1,0,3,97
ce,1,0,4,66
ce,1,0,5,80
ce,1,0,6,84
ce,1,0,7,117
ce,1,0,8,912
ce,1,0,9,313
ce,1,1,0,169
ce,1,1,1,3494
ce,1,1,2,39
ce,1,1,3,62
ce,1,1,4,22
ce,1,1,5,34
ce,1,1,6,71
ce,1,1,7,89
ce,1,1,8,319
ce,1,1,9,701
ce,1,2,0,475
ce,1,2,1,82
ce,1,2,2,1782
ce,1,2,3,485
ce,1,2,4,673
ce,1,2,5,432
ce,1,2,6,585
ce,1,2,7,239
ce,1,2,8,160
ce,1,2,9,87
ce,1,3,0,140
ce,1,3,1,88
ce,1,3,2,503
ce,1,3,3,1371
ce,1,3,4,362
ce,1,3,5,1278
ce,1,3,6,623
ce,1,3,7,336
ce,1,3,8,131
ce,1,3,9,168
ce,1,4,0,204
ce,1,4,1,69
ce,1,4,2,706
ce,1,4,3,318
ce,1,4,4,1841
ce,1,4,5,377
ce,1,4,6,721
ce,1,4,7,610
ce,1,4,8,85
ce,1,4,9,69
ce,1,5,0,86
ce,1,5,1,68
ce,1,5,2,375
ce,1,5,3,1005
ce,1,5,4,373
ce,1,5,5,2082
ce,1,5,6,343
ce,1,5,7,483
ce,1,5,8,51
ce,1,5,9,134
ce,1,6,0,50
ce,1,6,1,68
ce,1,6,2,450
ce,1,6,3,398
ce,1,6,4,496
ce,1,6,5,189
ce,1,6,6,3068
ce,1,6,7,139
ce,1,6,8,42
ce,1,6,9,100
ce,1,7,0,99
ce,1,7,1,100
ce,1,7,2,235
ce,1,7,3,304
ce,1,7,4,496
ce,1,7,5,552
ce,1,7,6,232
ce,1,7,7,2675
ce,1,7,8,58
ce,1,7,9,249
ce,1,8,0,857
ce,1,8,1,386
ce,1,8,2,158
ce,1,8,3,94
ce,1,8,4,45
ce,1,8,5,25
ce,1,8,6,55
ce,1,8,7,48
ce,1,8,8,3066
ce,1,8,9,266
ce,1,9,0,234
ce,1,9,1,774
ce,1,9,2,41
ce,1,9,3,113
ce,1,9,4,36
ce,1,9,5,49
ce,1,9,6,91
ce,1,9,7,199
ce,1,9,8,260
ce,1,9,9,3203
ce,2,0,0,3665
ce,2,0,1,99
ce,2,0,2,326
ce,2,0,3,85
ce,2,0,4,74
ce,2,0,5,40
ce,2,0,6,56
ce,2,0,7,82
ce,2,0,8,404
ce,2,0,9,169
ce,2,1,0,97
ce,2,1,1,4321
ce,2,1,2,10
ce,2,1,3,42
ce,2,1,4,12
ce,2,1,5,7
ce,2,1,6,39
ce,2,1,7,26
ce,2,1,8,129
ce,2,1,9,317
ce,2,2,0,396
ce,2,2,1,18
ce,2,2,2,2891
ce,2,2,3,385
ce,2,2,4,453
ce,2,2,5,257
ce,2,2,6,356
ce,2,2,7,152
ce,2,2,8,70
ce,2,2,9,22
ce,2,3,0,92
ce,2,3,1,35
ce,2,3,2,365
ce,2,3,3,2473
ce,2,3,4,301
ce,2,3,5,967
ce,2,3,6,418
ce,2,3,7,175
ce,2,3,8,101
ce,2,3,9,73
ce,2,4,0,140
ce,2,4,1,19
ce,2,4,2,442
ce,2,4,3,289
ce,2,4,4,3080
ce,2,4,5,178
ce,2,4,6,321
ce,2,4,7,454
ce,2,4,8,54
ce,2,4,9,23
ce,2,5,0,39
ce,2,5,1,13
ce,2,5,2,274
ce,2,5,3,993
ce,2,5,4,265
ce,2,5,5,2854
ce,2,5,6,168
ce,2,5,7,340
ce,2,5,8,24
ce,2,5,9,30
ce,2,6,0,45
ce,2,6,1,39
ce,2,6,2,276
ce,2,6,3,335
ce,2,6,4,306
ce,2,6,5,131
ce,2,6,6,3761
ce,2,6,7,26
ce,2,6,8,46
ce,2,6,9,35
ce,2,7,0,75
ce,2,7,1,17
ce,2,7,2,185
ce,2,7,3,202
ce,2,7,4,414
ce,2,7,5,350
ce,2,7,6,32
ce,2,7,7,3590
ce,2,7,8,21
ce,2,7,9,114
ce,2,8,0,394
ce,2,8,1,146
ce,2,8,2,67
ce,2,8,3,87
ce,2,8,4,39
ce,2,8,5,20
ce,2,8,6,33
ce,2,8,7,21
ce,2,8,8,4068
ce,2,8,9,125
ce,2,9,0,144
ce,2,9,1,330
ce,2,9,2,14
ce,2,9,3,80
ce,2,9,4,32
ce,2,9,5,22
ce,2,9,6,25
ce,2,9,7,92
ce,2,9,8,124
ce,2,9,9,4137
ce,3,0,0,4006
ce,3,0,1,59
ce,3,0,2,253
ce,3,0,3,78
ce,3,0,4,85
ce,3,0,5,21
ce,3,0,6,34
ce,3,0,7,71
ce,3,0,8,267
ce,3,0,9,126
ce,3,1,0,57
ce,3,1,1,4506
ce,3,1,2,7
ce,3,1,3,31
ce,3,1,4,3
ce,3,1,5,9
ce,3,1,6,27
ce,3,1,7,6
ce,3,1,8,90
ce,3,1,9,264
ce,3,2,0,321
ce,3,2,1,11
ce,3,2,2,3397
ce,3,2,3,278
ce,3,2,4,314
ce,3,2,5,208
ce,3,2,6,277
ce,3,2,7,121
ce,3,2,8,49
ce,3,2,9,24
ce,3,3,0,88
ce,3,3,1,25
ce,3,3,2,263
ce,3,3,3,2978
ce,3,3,4,259
ce,3,3,5,761
ce,3,3,6,325
ce,3,3,7,162
ce,3,3,8,75
ce,3,3,9,64
ce,3,4,0,106
ce,3,4,1,12
ce,3,4,2,271
ce,3,4,3,245
ce,3,4,4,3712
ce,3,4,5,112
ce,3,4,6,208
ce,3,4,7,277
ce,3,4,8,38
ce,3,4,9,19
ce,3,5,0,23
ce,3,5,1,13
ce,3,5,2,203
ce,3,5,3,845
ce,3,5,4,201
ce,3,5,5,3250
ce,3,5,6,144
ce,3,5,7,278
ce,3,5,8,21
ce,3,5,9,22
ce,3,6,0,48
ce,3,6,1,29
ce,3,6,2,246
ce,3,6,3,264
ce,3,6,4,200
ce,3,6,5,86
ce,3,6,6,4050
ce,3,6,7,21
ce,3,6,8,40
ce,3,6,9,16
ce,3,7,0,72
ce,3,7,1,12
ce,3,7,2,154
ce,3,7,3,166
ce,3,7,4,246
ce,3,7,5,249
ce,3,7,6,28
ce,3,7,7,3993
ce,3,7,8,18
ce,3,7,9,62
ce,3,8,0,284
ce,3,8,1,83
ce,3,8,2,53
ce,3,8,3,65
ce,3,8,4,39
ce,3,8,5,12
ce,3,8,6,23
ce,3,8,7,23
ce,3,8,8,4315
ce,3,8,9,103
ce,3,9,0,117
ce,3,9,1,260
ce,3,9,2,12
ce,3,9,3,76
ce,3,9,4,14
ce,3,9,5,16
ce,3,9,6,17
ce,3,9,7,55
ce,3,9,8,96
ce,3,9,9,4337
ce,4,0,0,4169
ce,4,0,1,45
ce,4,0,2,214
ce,4,0,3,73
ce,4,0,4,78
ce,4,0,5,19
ce,4,0,6,29
ce,4,0,7,55
ce,4,0,8,225
ce,4,0,9,93
ce,4,1,0,46
ce,4,1,1,4611
ce,4,1,2,7
ce,4,1,3,19
ce,4,1,4,3
ce,4,1,5,8
ce,4,1,6,16
ce,4,1,7,7
ce,4,1,8,68
ce,4,1,9,215
ce,4,2,0,260
ce,4,2,1,10
ce,4,2,2,3737
ce,4,2,3,207
ce,4,2,4,237
ce,4,2,5,173
ce,4,2,6,227
ce,4,2,7,99
ce,4,2,8,39
ce,4,2,9,11
ce,4,3,0,93
ce,4,3,1,18
ce,4,3,2,222
ce,4,3,3,3277
ce,4,3,4,205
ce,4,3,5,669
ce,4,3,6,264
ce,4,3,7,146
ce,4,3,8,54
ce,4,3,9,52
ce,4,4,0,88
ce,4,4,1,5
ce,4,4,2,214
ce,4,4,3,199
ce,4,4,4,3989
ce,4,4,5,104
ce,4,4,6,148
ce,4,4,7,215
ce,4,4,8,23
ce,4,4,9,15
ce,4,5,0,22
ce,4,5,1,7
ce,4,5,2,170
ce,4,5,3,808
ce,4,5,4,166
ce,4,5,5,3467
ce,4,5,6,107
ce,4,5,7,233
ce,4,5,8,10
ce,4,5,9,10
ce,4,6,0,36
ce,4,6,1,17
ce,4,6,2,209
ce,4,6,3,238
ce,4,6,4,130
ce,4,6,5,74
