criterion,epoch,training_loss
ce,1,1.3391618266739809
ce,2,0.8632249687714955
ce,3,0.6597019996865631
ce,4,0.5373999246055513
ce,5,0.44988807969157346
ce,6,0.3770412017336434
ce,7,0.3245793819008276
ce,8,0.28402149400976306
ce,9,0.24111518271438911
ce,10,0.209355566769724
ce,11,0.1842791601739195
ce,12,0.16228530736273283
ce,13,0.15135943622368833
ce,14,0.13319537670725523
ce,15,0.1191801295182227
ce,16,0.1143159308462449
ce,17,0.10389126172763251
ce,18,0.09815404818350416
ce,19,0.09243914803497189
ce,20,0.08524321627093341
