criterion,epoch,training_loss
focal_loss,1,0.82359269470133
focal_loss,2,0.5204552519551092
focal_loss,3,0.3917393797907437
focal_loss,4,0.3148481719026215
focal_loss,5,0.25717936651928
focal_loss,6,0.21338229700792483
focal_loss,7,0.17469009013941117
focal_loss,8,0.14420929900819074
focal_loss,9,0.12566550593373027
focal_loss,10,0.10539312066343953
focal_loss,11,0.09352657014598675
focal_loss,12,0.08403086896183298
focal_loss,13,0.07276867745825842
focal_loss,14,0.06807964322550285
focal_loss,15,0.06151048019495768
focal_loss,16,0.05793888280013227
focal_loss,17,0.05206632582656713
focal_loss,18,0.04809986224525238
focal_loss,19,0.0467939594452271
focal_loss,20,0.042390344534583076
