criterion,epoch,true_class,predicted_class,count
focal_loss,1,0,0,438
focal_loss,1,0,1,0
focal_loss,1,0,2,2
focal_loss,1,0,3,0
focal_loss,1,0,4,34
focal_loss,1,0,5,1
focal_loss,1,0,6,8
focal_loss,1,0,7,16
focal_loss,1,0,8,1
focal_loss,1,0,9,0
focal_loss,1,1,0,488
focal_loss,1,1,1,12
focal_loss,1,1,2,0
focal_loss,1,1,3,0
focal_loss,1,1,4,0
focal_loss,1,1,5,0
focal_loss,1,1,6,0
focal_loss,1,1,7,0
focal_loss,1,1,8,0
focal_loss,1,1,9,0
focal_loss,1,2,0,21
focal_loss,1,2,1,478
focal_loss,1,2,2,1
focal_loss,1,2,3,0
focal_loss,1,2,4,0
focal_loss,1,2,5,0
focal_loss,1,2,6,0
focal_loss,1,2,7,0
focal_loss,1,2,8,0
focal_loss,1,2,9,0
focal_loss,1,3,0,0
focal_loss,1,3,1,164
focal_loss,1,3,2,335
focal_loss,1,3,3,1
focal_loss,1,3,4,0
focal_loss,1,3,5,0
focal_loss,1,3,6,0
focal_loss,1,3,7,0
focal_loss,1,3,8,0
focal_loss,1,3,9,0
focal_loss,1,4,0,2
focal_loss,1,4,1,1
focal_loss,1,4,2,106
focal_loss,1,4,3,387
focal_loss,1,4,4,4
focal_loss,1,4,5,0
focal_loss,1,4,6,0
focal_loss,1,4,7,0
focal_loss,1,4,8,0
focal_loss,1,4,9,0
focal_loss,1,5,0,0
focal_loss,1,5,1,5
focal_loss,1,5,2,0
focal_loss,1,5,3,124
focal_loss,1,5,4,596
focal_loss,1,5,5,4274
focal_loss,1,5,6,0
focal_loss,1,5,7,0
focal_loss,1,5,8,0
focal_loss,1,5,9,1
focal_loss,1,6,0,0
focal_loss,1,6,1,4
focal_loss,1,6,2,0
focal_loss,1,6,3,1
focal_loss,1,6,4,0
focal_loss,1,6,5,640
focal_loss,1,6,6,4345
focal_loss,1,6,7,4
focal_loss,1,6,8,5
focal_loss,1,6,9,1
focal_loss,1,7,0,1
focal_loss,1,7,1,2
focal_loss,1,7,2,1
focal_loss,1,7,3,0
focal_loss,1,7,4,2
focal_loss,1,7,5,15
focal_loss,1,7,6,381
focal_loss,1,7,7,4589
focal_loss,1,7,8,6
focal_loss,1,7,9,3
focal_loss,1,8,0,0
focal_loss,1,8,1,4
focal_loss,1,8,2,1
focal_loss,1,8,3,0
focal_loss,1,8,4,8
focal_loss,1,8,5,8
focal_loss,1,8,6,3
focal_loss,1,8,7,349
focal_loss,1,8,8,4615
focal_loss,1,8,9,12
focal_loss,1,9,0,0
focal_loss,1,9,1,0
focal_loss,1,9,2,0
focal_loss,1,9,3,0
focal_loss,1,9,4,0
focal_loss,1,9,5,9
focal_loss,1,9,6,3
focal_loss,1,9,7,58
focal_loss,1,9,8,697
focal_loss,1,9,9,4233
focal_loss,2,0,0,10
focal_loss,2,0,1,0
focal_loss,2,0,2,3
focal_loss,2,0,3,2
focal_loss,2,0,4,0
focal_loss,2,0,5,2
focal_loss,2,0,6,1
focal_loss,2,0,7,0
focal_loss,2,0,8,0
focal_loss,2,0,9,482
focal_loss,2,1,0,436
focal_loss,2,1,1,2
focal_loss,2,1,2,7
focal_loss,2,1,3,0
focal_loss,2,1,4,0
focal_loss,2,1,5,3
focal_loss,2,1,6,0
focal_loss,2,1,7,0
focal_loss,2,1,8,2
focal_loss,2,1,9,50
focal_loss,2,2,0,258
focal_loss,2,2,1,233
focal_loss,2,2,2,7
focal_loss,2,2,3,0
focal_loss,2,2,4,0
focal_loss,2,2,5,0
focal_loss,2,2,6,0
focal_loss,2,2,7,0
focal_loss,2,2,8,1
focal_loss,2,2,9,1
focal_loss,2,3,0,5
focal_loss,2,3,1,101
focal_loss,2,3,2,371
focal_loss,2,3,3,5
focal_loss,2,3,4,3
focal_loss,2,3,5,1
focal_loss,2,3,6,1
focal_loss,2,3,7,0
focal_loss,2,3,8,3
focal_loss,2,3,9,10
focal_loss,2,4,0,0
focal_loss,2,4,1,0
focal_loss,2,4,2,210
focal_loss,2,4,3,205
focal_loss,2,4,4,61
focal_loss,2,4,5,0
focal_loss,2,4,6,1
focal_loss,2,4,7,0
focal_loss,2,4,8,1
focal_loss,2,4,9,22
focal_loss,2,5,0,2
focal_loss,2,5,1,0
focal_loss,2,5,2,2
focal_loss,2,5,3,3
focal_loss,2,5,4,419
focal_loss,2,5,5,4553
focal_loss,2,5,6,2
focal_loss,2,5,7,4
focal_loss,2,5,8,0
focal_loss,2,5,9,15
focal_loss,2,6,0,0
focal_loss,2,6,1,0
focal_loss,2,6,2,0
focal_loss,2,6,3,26
focal_loss,2,6,4,5
focal_loss,2,6,5,527
focal_loss,2,6,6,4442
focal_loss,2,6,7,0
focal_loss,2,6,8,0
focal_loss,2,6,9,0
focal_loss,2,7,0,0
focal_loss,2,7,1,0
focal_loss,2,7,2,0
focal_loss,2,7,3,0
focal_loss,2,7,4,0
focal_loss,2,7,5,0
focal_loss,2,7,6,436
focal_loss,2,7,7,4564
focal_loss,2,7,8,0
focal_loss,2,7,9,0
focal_loss,2,8,0,0
focal_loss,2,8,1,0
focal_loss,2,8,2,1
focal_loss,2,8,3,0
focal_loss,2,8,4,0
focal_loss,2,8,5,0
focal_loss,2,8,6,0
focal_loss,2,8,7,268
focal_loss,2,8,8,4731
focal_loss,2,8,9,0
focal_loss,2,9,0,2
focal_loss,2,9,1,0
focal_loss,2,9,2,3
focal_loss,2,9,3,1
focal_loss,2,9,4,0
focal_loss,2,9,5,1
focal_loss,2,9,6,0
focal_loss,2,9,7,8
focal_loss,2,9,8,281
focal_loss,2,9,9,4704
