criterion,epoch,n_seeds,Accuracy Mean,Accuracy Std,Accuracy CI Low,Accuracy CI High,Macro Precision Mean,Macro Precision Std,Macro Precision CI Low,Macro Precision CI High,Macro Recall Mean,Macro Recall Std,Macro Recall CI Low,Macro Recall CI High,Macro F1 Mean,Macro F1 Std,Macro F1 CI Low,Macro F1 CI High,Weighted F1 Mean,Weighted F1 Std,Weighted F1 CI Low,Weighted F1 CI High,Top-3 Acc Mean,Top-3 Acc Std,Top-3 Acc CI Low,Top-3 Acc CI High,Macro Recall@3 Mean,Macro Recall@3 Std,Macro Recall@3 CI Low,Macro Recall@3 CI High
ce,1,5,0.0236,0.035855729435242754,0.0,0.05502893257281684,0.4108884202841259,0.30765472921509224,0.14121716013942515,0.6805596804288268,0.0236,0.035855729435242754,0.0,0.05502893257281684,0.03972196024759979,0.05697659887258848,0.0,0.0896641511442913,0.03972196024759979,0.05697659887258848,0.0,0.0896641511442913,0.23233333333333334,0.13218442503647024,0.1164685762336105,0.34819809043305616,0.23233333333333334,0.13218442503647024,0.1164685762336105,0.34819809043305616
ce,2,5,0.3022666666666667,0.07095906488172522,0.24006830393008727,0.3644650294032461,0.8539693855116987,0.029518954534006894,0.8280948810382948,0.8798438899851025,0.3022666666666667,0.0709590648817252,0.2400683039300873,0.3644650294032461,0.416114991593253,0.07888712768795711,0.34696737540974165,0.48526260777676433,0.41611499159325305,0.07888712768795708,0.34696737540974176,0.48526260777676433,0.6692666666666666,0.08039015970737821,0.5988015848301838,0.7397317485031494,0.6692666666666667,0.08039015970737823,0.5988015848301839,0.7397317485031495
ce,3,5,0.383,0.06352602266438183,0.327316986033042,0.438683013966958,0.8760972044296637,0.01781053327139219,0.8604855836904046,0.8917088251689227,0.383,0.06352602266438186,0.32731698603304193,0.4386830139669581,0.5101702722016234,0.05825485804681357,0.45910763773761126,0.5612329066656354,0.5101702722016235,0.058254858046813573,0.4591076377376114,0.5612329066656355,0.7448666666666666,0.04730668263810326,0.7034005310644939,0.7863328022688393,0.7448666666666667,0.04730668263810332,0.7034005310644939,0.7863328022688395
ce,4,5,0.37126666666666663,0.03158709300401739,0.343579358896579,0.3989539744367543,0.8915545223580853,0.017531018126880467,0.8761879074454629,0.9069211372707077,0.37126666666666674,0.03158709300401741,0.3435793588965791,0.3989539744367544,0.5119646105953849,0.025833228227909583,0.489320787672203,0.5346084335185668,0.5119646105953849,0.02583322822790957,0.489320787672203,0.5346084335185668,0.7705333333333333,0.03606136744803532,0.7389241510949744,0.8021425155716921,0.7705333333333333,0.03606136744803534,0.7389241510949744,0.8021425155716921
ce,5,5,0.4178,0.0714168514194421,0.35520036967095303,0.480399630329047,0.8996528219959584,0.014267272732889594,0.8871470060557245,0.9121586379361923,0.4177999999999999,0.07141685141944204,0.35520036967095303,0.48039963032904676,0.5515163400841353,0.057193407763348164,0.5013841078156407,0.6016485723526299,0.5515163400841353,0.05719340776334819,0.5013841078156407,0.6016485723526299,0.7898666666666666,0.032453043000618596,0.7614203202580327,0.8183130130753005,0.7898666666666666,0.032453043000618596,0.7614203202580327,0.8183130130753005
ce,6,5,0.42960000000000004,0.0529210103204137,0.38321268920635015,0.4759873107936499,0.8998848631318197,0.02166034542990039,0.8808987332512451,0.9188709930123943,0.42960000000000004,0.0529210103204137,0.38321268920635015,0.4759873107936499,0.566085190444762,0.04808433705637884,0.5239374106908206,0.6082329701987035,0.566085190444762,0.04808433705637881,0.5239374106908206,0.6082329701987035,0.7696,0.03805142718888625,0.7362464534885884,0.8029535465114115,0.7696000000000001,0.03805142718888626,0.7362464534885885,0.8029535465114116
ce,7,5,0.45,0.048074594815418537,0.4078607596967704,0.49213924030322964,0.9108582695340346,0.004554604110827928,0.9068659830082894,0.9148505560597798,0.45,0.048074594815418537,0.4078607596967704,0.49213924030322964,0.591808293528957,0.04795524002085022,0.5497736723158927,0.6338429147420214,0.5918082935289569,0.04795524002085027,0.5497736723158926,0.6338429147420213,0.7984,0.04731302381186625,0.7569283061139556,0.8398716938860444,0.7984,0.04731302381186625,0.7569283061139556,0.8398716938860444
ce,8,5,0.5128666666666666,0.06930151513495213,0.4521212103427571,0.5736121229905761,0.9084131018126594,0.0106867994782463,0.8990457090553143,0.9177804945700045,0.5128666666666668,0.06930151513495213,0.4521212103427573,0.5736121229905763,0.643541609669023,0.05945942582302142,0.5914231249960171,0.6956600943420288,0.643541609669023,0.05945942582302147,0.5914231249960171,0.6956600943420288,0.8438666666666667,0.03969788687351284,0.8090699346106563,0.878663398722677,0.8438666666666667,0.03969788687351279,0.8090699346106563,0.878663398722677
ce,9,5,0.4998666666666667,0.007840776605526888,0.4929939229480182,0.5067394103853151,0.9153325528237426,0.00719648728184807,0.909024553597264,0.9216405520502212,0.4998666666666667,0.007840776605526891,0.4929939229480182,0.5067394103853151,0.6354550295719863,0.011317958971411645,0.6255344011263473,0.6453756580176253,0.6354550295719862,0.011317958971411695,0.6255344011263472,0.6453756580176252,0.8337333333333333,0.030825134044946006,0.8067139120384368,0.8607527546282299,0.8337333333333332,0.030825134044946016,0.8067139120384366,0.8607527546282299
ce,10,5,0.4572,0.042572552451341485,0.41988351246730504,0.49451648753269495,0.9174688981293379,0.026234736648077635,0.8944731375587105,0.9404646586999652,0.4572,0.04257255245134147,0.41988351246730504,0.49451648753269495,0.5985657053617921,0.03500764656524933,0.5678801502005357,0.6292512605230485,0.5985657053617922,0.03500764656524936,0.5678801502005358,0.6292512605230486,0.8099999999999999,0.027267196408871958,0.7860992485473782,0.8339007514526217,0.8099999999999999,0.02726719640887188,0.7860992485473782,0.8339007514526217
