split,criterion,seed,epoch,confidence,accuracy,count
balanced,ce,seed_255,11,0.9217506312249174,0.817,10000
balanced,ce,seed_255,12,0.9239642295156678,0.7967,10000
balanced,ce,seed_255,13,0.9308741808362991,0.8161,10000
balanced,ce,seed_255,14,0.9344727512504449,0.8156,10000
balanced,ce,seed_255,15,0.9317768667392374,0.81,10000
balanced,ce,seed_255,16,0.937660919984302,0.8241,10000
balanced,ce,seed_255,17,0.9392278259657793,0.8171,10000
balanced,ce,seed_255,18,0.9408251043242016,0.826,10000
balanced,ce,seed_255,19,0.9437620797207655,0.8271,10000
balanced,ce,seed_255,20,0.9422689112780428,0.8269,10000
balanced,focal_loss,seed_2,1,0.5546582953962282,0.5706,10000
balanced,focal_loss,seed_2,2,0.624524108162419,0.6762,10000
balanced,focal_loss,seed_2,3,0.6444027955264924,0.6944,10000
balanced,focal_loss,seed_2,4,0.6837464059699527,0.7233,10000
balanced,focal_loss,seed_2,5,0.6947325136850517,0.7314,10000
balanced,focal_loss,seed_2,6,0.7317697729616212,0.74,10000
balanced,focal_loss,seed_2,7,0.753347392576332,0.7425,10000
balanced,focal_loss,seed_2,8,0.7719732674932034,0.747,10000
balanced,focal_loss,seed_2,9,0.7885722517917411,0.7634,10000
balanced,focal_loss,seed_2,10,0.8037986650264228,0.779,10000
balanced,focal_loss,seed_2,11,0.817994570469428,0.7803,10000
balanced,focal_loss,seed_2,12,0.8266246101682138,0.7858,10000
balanced,focal_loss,seed_2,13,0.8388308385363383,0.7969,10000
balanced,focal_loss,seed_2,14,0.8445056831492977,0.803,10000
balanced,focal_loss,seed_2,15,0.8551508427059739,0.8088,10000
balanced,focal_loss,seed_2,16,0.850028261790191,0.8034,10000
balanced,focal_loss,seed_2,17,0.8593896406217622,0.8086,10000
balanced,focal_loss,seed_2,18,0.8588493685638017,0.7968,10000
balanced,focal_loss,seed_2,19,0.846573248267227,0.7865,10000
balanced,focal_loss,seed_2,20,0.8744907489438878,0.8116,10000
balanced,focal_loss,seed_18,1,0.5480941225342796,0.5744,10000
balanced,focal_loss,seed_18,2,0.6143976004093136,0.659,10000
balanced,focal_loss,seed_18,3,0.6510071234576599,0.7104,10000
balanced,focal_loss,seed_18,4,0.6837408614072651,0.7221,10000
balanced,focal_loss,seed_18,5,0.6905713921591294,0.6962,10000
balanced,focal_loss,seed_18,6,0.7300783304073684,0.7665,10000
balanced,focal_loss,seed_18,7,0.7513236206412249,0.759,10000
balanced,focal_loss,seed_18,8,0.7748776192658287,0.7642,10000
balanced,focal_loss,seed_18,9,0.8107567812490042,0.7745,10000
balanced,focal_loss,seed_18,10,0.8013197908387819,0.7738,10000
balanced,focal_loss,seed_18,11,0.8159673562358262,0.7781,10000
balanced,focal_loss,seed_18,12,0.8331585653081193,0.8003,10000
balanced,focal_loss,seed_18,13,0.837225031813422,0.7954,10000
balanced,focal_loss,seed_18,14,0.8439241403249947,0.8,10000
balanced,focal_loss,seed_18,15,0.8553846203133278,0.7945,10000
balanced,focal_loss,seed_18,16,0.8553905984687296,0.8007,10000
balanced,focal_loss,seed_18,17,0.8533772059610728,0.7976,10000
balanced,focal_loss,seed_18,18,0.8550727098897399,0.802,10000
balanced,focal_loss,seed_18,19,0.8569453785351174,0.8047,10000
balanced,focal_loss,seed_18,20,0.8683400567787399,0.7977,10000
balanced,focal_loss,seed_33,1,0.5587247453275971,0.5895,10000
balanced,focal_loss,seed_33,2,0.652351732107814,0.689,10000
balanced,focal_loss,seed_33,3,0.6811670924616625,0.735,10000
balanced,focal_loss,seed_33,4,0.6960748815759736,0.705,10000
balanced,focal_loss,seed_33,5,0.7278135226915154,0.7406,10000
