criterion,epoch,confidence,confidence_std,confidence_ci_low,confidence_ci_high,accuracy,accuracy_std,accuracy_ci_low,accuracy_ci_high,count,n_seeds
ce,1,0.6927237304883767,0.009626451939848192,0.6842857733278797,0.7011616876488737,0.59794,0.020708283366807603,0.5797883893122401,0.61609161068776,50000,5
ce,2,0.7696913831870924,0.011618503534210008,0.7595073158169608,0.779875450557224,0.6901200000000001,0.027782584473011167,0.6657674909908651,0.7144725090091351,50000,5
ce,3,0.8084310931512766,0.014233200970984768,0.7959551424271297,0.8209070438754235,0.74486,0.0069099927641061805,0.7388031242905273,0.7509168757094726,50000,5
ce,4,0.8340164676586236,0.009133676093567676,0.8260104475717882,0.842022487745459,0.74968,0.010193478307231552,0.7407450223145214,0.7586149776854786,50000,5
ce,5,0.854582111570085,0.00783465093292011,0.8477147372402163,0.8614494858999537,0.76072,0.013943349669286793,0.7484981151437268,0.7729418848562731,50000,5
ce,6,0.8725757305875353,0.006720388371213425,0.8666850504561083,0.8784664107189624,0.7725799999999999,0.011144595102559806,0.7628113316854342,0.7823486683145656,50000,5
ce,7,0.8865386744373186,0.009391132442841996,0.8783069839103824,0.8947703649642548,0.77562,0.011060831795122817,0.7659247534616184,0.7853152465383816,50000,5
ce,8,0.8977263540414295,0.003937151266340996,0.8942752887966883,0.9011774192861708,0.78792,0.009969804411321228,0.779181081128652,0.7966589188713479,50000,5
ce,9,0.9039314376123132,0.0021763277067382357,0.9020238022684287,0.9058390729561977,0.79182,0.01050842519124537,0.7826089591988744,0.8010310408011255,50000,5
ce,10,0.9125650232524665,0.006127190739611354,0.9071943037705542,0.9179357427343787,0.7955599999999999,0.01021019098743996,0.7866103730044207,0.8045096269955792,50000,5
ce,11,0.9220662468505877,0.0037556930006031474,0.9187742367886159,0.9253582569125595,0.80586,0.008962309970091406,0.798004188943209,0.813715811056791,50000,5
ce,12,0.9229726178141391,0.006899374100775645,0.916925049773457,0.9290201858548212,0.79872,0.0063385329532945085,0.7931640309000139,0.8042759690999861,50000,5
ce,13,0.9272789796495868,0.003070298684186957,0.9245877441945113,0.9299702151046624,0.81052,0.007722823317932377,0.80375064689649,0.81728935310351,50000,5
ce,14,0.9319343494456079,0.0023047224718006,0.9299141711280506,0.9339545277631652,0.8112199999999999,0.00648012345561411,0.8055399213526571,0.8169000786473428,50000,5
ce,15,0.9326812952270643,0.001992841219564527,0.9309344928804228,0.9344280975737058,0.8099399999999999,0.00594836111882928,0.8047260315919637,0.8151539684080361,50000,5
ce,16,0.9369949936111406,0.00149463293542081,0.9356848900798963,0.9383050971423849,0.8217000000000001,0.007468935667148319,0.8151531892344441,0.8282468107655561,50000,5
ce,17,0.9399066316533871,0.001815238228015067,0.9383155051926935,0.9414977581140807,0.81814,0.006567571849625994,0.8123832694556719,0.8238967305443281,50000,5
ce,18,0.9394024980508229,0.0023936676802186713,0.9373043558206057,0.9415006402810401,0.8192600000000001,0.004135577347843942,0.815635006626213,0.8228849933737872,50000,5
ce,19,0.9403302520666227,0.0032240562297362555,0.9375042421805777,0.9431562619526677,0.82348,0.010405383222159576,0.8143592794670597,0.8326007205329403,50000,5
ce,20,0.9427178297373064,0.0016861192873511115,0.9412398810181878,0.9441957784564251,0.8208399999999999,0.0071167408270921455,0.8146019016230904,0.8270780983769094,50000,5
focal_loss,1,0.5615479290938591,0.011471844524747815,0.5514924140134783,0.5716034441742399,0.5661,0.018482018288055003,0.5498997966926338,0.5823002033073663,50000,5
