criterion,epoch,train_accuracy,test_accuracy
label_smoothing_ce,1,0.52788,0.6117
label_smoothing_ce,2,0.71358,0.6854
label_smoothing_ce,3,0.7847,0.7243
label_smoothing_ce,4,0.8259,0.7523
label_smoothing_ce,5,0.85746,0.7626
label_smoothing_ce,6,0.87826,0.7614
label_smoothing_ce,7,0.89734,0.7837
label_smoothing_ce,8,0.91088,0.7965
label_smoothing_ce,9,0.9233,0.796
label_smoothing_ce,10,0.93066,0.7957
label_smoothing_ce,11,0.93962,0.8166
label_smoothing_ce,12,0.9454,0.8082
label_smoothing_ce,13,0.9515,0.8306
label_smoothing_ce,14,0.9583,0.8171
label_smoothing_ce,15,0.95928,0.8183
label_smoothing_ce,16,0.96188,0.8263
label_smoothing_ce,17,0.9644,0.8211
label_smoothing_ce,18,0.96632,0.8283
label_smoothing_ce,19,0.96968,0.8208
label_smoothing_ce,20,0.97154,0.8304
