criterion,epoch,training_loss
ce,1,0.9317677102773463
ce,2,0.7488653162244551
ce,3,0.6105715326054028
ce,4,0.6930455351476138
ce,5,0.6196030834487363
ce,6,0.6560978297130637
ce,7,0.7178144751921727
ce,8,0.7291594495511162
ce,9,0.5926901243368352
ce,10,0.5780398000169614
ce,11,0.5341648947396775
ce,12,0.64861179664962
ce,13,0.5322334265058808
ce,14,0.6174157724740538
ce,15,0.6185105966820164
ce,16,0.6211855293582758
ce,17,0.5924042520611946
ce,18,0.6230540504055043
ce,19,0.5113735005352579
ce,20,0.6201039114696068
