criterion,epoch,train_accuracy,test_accuracy
label_smoothing_ce,1,0.5105,0.5937
label_smoothing_ce,2,0.71274,0.6803
label_smoothing_ce,3,0.7861,0.7368
label_smoothing_ce,4,0.82962,0.7687
label_smoothing_ce,5,0.85684,0.7272
label_smoothing_ce,6,0.87998,0.7717
label_smoothing_ce,7,0.8962,0.7912
label_smoothing_ce,8,0.91086,0.7888
label_smoothing_ce,9,0.92364,0.7833
label_smoothing_ce,10,0.9318,0.8109
label_smoothing_ce,11,0.94062,0.803
label_smoothing_ce,12,0.94596,0.8092
label_smoothing_ce,13,0.95048,0.8163
label_smoothing_ce,14,0.95732,0.8181
label_smoothing_ce,15,0.95834,0.8199
label_smoothing_ce,16,0.96362,0.8289
label_smoothing_ce,17,0.96312,0.8262
label_smoothing_ce,18,0.96756,0.8307
label_smoothing_ce,19,0.96774,0.8301
label_smoothing_ce,20,0.96992,0.8323
