criterion,epoch,train_accuracy,test_accuracy
weighted_ce,1,0.3898904109589041,0.3223
weighted_ce,2,0.5414520547945205,0.4883
weighted_ce,3,0.6211780821917808,0.5655
weighted_ce,4,0.6772054794520548,0.6104
weighted_ce,5,0.7217534246575342,0.6647
weighted_ce,6,0.7581369863013698,0.6676
weighted_ce,7,0.7804383561643835,0.7054
weighted_ce,8,0.807041095890411,0.6865
weighted_ce,9,0.8174794520547946,0.6937
weighted_ce,10,0.8304109589041095,0.6956
weighted_ce,11,0.8537260273972602,0.7423
weighted_ce,12,0.8647671232876712,0.7422
weighted_ce,13,0.8668493150684932,0.74
weighted_ce,14,0.8771780821917808,0.7472
weighted_ce,15,0.895013698630137,0.754
weighted_ce,16,0.9052602739726028,0.7543
weighted_ce,17,0.9153972602739726,0.7727
weighted_ce,18,0.8995616438356164,0.7409
weighted_ce,19,0.9260273972602739,0.7622
weighted_ce,20,0.9152328767123288,0.764
