criterion,epoch,training_loss
weighted_ce,1,1.673012322176985
weighted_ce,2,1.2875975361012326
weighted_ce,3,1.0476421608398758
weighted_ce,4,0.8731086960815924
weighted_ce,5,0.7341765987372023
weighted_ce,6,0.6252717551646425
weighted_ce,7,0.5529695923869121
weighted_ce,8,0.468929089292649
weighted_ce,9,0.43839893619254255
weighted_ce,10,0.41470022626129843
weighted_ce,11,0.33648819062734864
weighted_ce,12,0.3164831875397737
weighted_ce,13,0.3128233644491528
weighted_ce,14,0.2868098472807746
weighted_ce,15,0.23929766786730017
weighted_ce,16,0.21817071382902342
weighted_ce,17,0.19194295708801198
weighted_ce,18,0.24199093004032943
weighted_ce,19,0.17008294032041746
weighted_ce,20,0.1995861145640004
